qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,rus-Cyrl-r-pSKOS-pprefLabel-ps5002,uzb-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,rus-Cyrl-r-pSKOS-pprefLabel-ps5001,uzb-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,rus-Cyrl-r-pSKOS-pprefLabel-ps5000,uzb-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:860:2:3202,3202,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3202,Altinkul,Алтынкульский,Oltinko'l,UZ03202,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3203,3203,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3203,Andijan,Андижанский,Andijon,UZ03203,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3206,3206,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3206,Balikchi,Балыкчинский,Baliqchi,UZ03206,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3209,3209,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3209,Boz,Бозский,Bo'z,UZ03209,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3210,3210,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3210,Bulakbashi,Булакбашинский,Buloqboshi,UZ03210,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3211,3211,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3211,Djalalkuduk,Жалакудукский,Jalaquduq,UZ03211,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3214,3214,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3214,Izboskan,Избасканский,Izboskan,UZ03214,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3217,3217,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3217,Ulugnar,Улугноpский,Ulug'nor,UZ03217,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3220,3220,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3220,Kurgantepa,Кургантепинский,Qo'rg'ontepa,UZ03220,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3224,3224,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3224,Asaka,Асакинский,Asaka,UZ03224,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3227,3227,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3227,Markhamat,Мархаматский,Marxamat,UZ03227,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3230,3230,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3230,Shakhrixan,Шахриханский,Shaxrixon,UZ03230,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3232,3232,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3232,Paxtaabad,Пахтаабадский,Paxtaobod,UZ03232,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3236,3236,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3236,Khadjaabad,Ходжаабадский,Xo'jaobod,UZ03236,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3401,3401,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3401,Andijan city,г.Андижан,Andijon ш.,UZ03401,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:3408,3408,1603:45:16:860:0,1603:45:16:860:1:3,1603:45:16:860:2:3408,Khanabad city,г.Ханабад,Xonobod ш.,UZ03408,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:2:6204,6204,1603:45:16:860:0,1603:45:16:860:1:6,1603:45:16:860:2:6204,Alat,Алатский,Olot,UZ06204,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
