qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,ara-Arab-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:887:3:110121,110121,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110121,Bani Sayf As Safil,بني سيف السافل,YE110121,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110122,110122,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110122,Bani Murghim,بني مرغم,YE110122,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110123,110123,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110123,Bani Sayf Al Aali,بني سيف العالي,YE110123,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110124,110124,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110124,Bani Saba,بني سباء,YE110124,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110125,110125,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110125,Bani Muslim,بني مسلم,YE110125,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110126,110126,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110126,Bani Mubariz,بني مبارز,YE110126,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110127,110127,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110127,Bani Omar Al Aali,بني عمر العالي,YE110127,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110128,110128,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110128,Bani Omar As Safil,بني عمر السافل,YE110128,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110129,110129,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110129,An Nakhlah,النخله,YE110129,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110130,110130,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110130,Al Karabah,الكرابه,YE110130,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
