#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+name+i_ara+is_arab,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_ara+is_arab,#adm3+name+alt2+i_ara+is_arab,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:887:3:110121,110121,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110121,Bani Sayf As Safil,بني سيف السافل,YE110121,Bani Sayf As Safil,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110122,110122,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110122,Bani Murghim,بني مرغم,YE110122,Bani Murghim,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110123,110123,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110123,Bani Sayf Al Aali,بني سيف العالي,YE110123,Bani Sayf Al Aali,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110124,110124,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110124,Bani Saba,بني سباء,YE110124,Bani Saba - Al Qafr,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110125,110125,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110125,Bani Muslim,بني مسلم,YE110125,Bani Muslim - Al Qafr,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110126,110126,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110126,Bani Mubariz,بني مبارز,YE110126,Bani Mubariz,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110127,110127,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110127,Bani Omar Al Aali,بني عمر العالي,YE110127,Bani Omar Al Aali,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110128,110128,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110128,Bani Omar As Safil,بني عمر السافل,YE110128,Bani Omar As Safil,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110129,110129,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110129,An Nakhlah,النخله,YE110129,An Nakhlah,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110130,110130,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110130,Al Karabah,الكرابه,YE110130,Al Karabah,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110131,110131,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110131,Bani Jama'ah,بني جماعه,YE110131,Bani Jamaah,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110132,110132,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110132,Bani Mahdi,بني مهدى,YE110132,Bani Mahdi,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110133,110133,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110133,Mad'hajein,مدحجين,YE110133,Madhajein,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110134,110134,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110134,Himyar,حمير,YE110134,Himyar - Al Qafr,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110135,110135,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1101,1603:45:16:887:3:110135,Bani Sawi,بني ساوي,YE110135,Bani Sawi,,,,,Al Qafr,القفر,YE1101,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110221,110221,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110221,Yarim,يريم,YE110221,Yarim,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110222,110222,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110222,Khaw,خاو,YE110222,Khaw,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110223,110223,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110223,Ra'in,رعين,YE110223,Rain,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110224,110224,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110224,Abidah,عبيده,YE110224,Abidah,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110225,110225,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110225,Aras,عراس,YE110225,Aras,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110226,110226,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110226,Bani Omar,بني عمر,YE110226,Bani Omar - Yarim,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110227,110227,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110227,Bani Saba,بني سباء,YE110227,Bani Saba - Yarim,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110228,110228,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110228,Bani Muslim,بني مسلم,YE110228,Bani Muslim - Yarim,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110229,110229,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110229,Khawdan,خودان,YE110229,Khawdan,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110230,110230,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110230,Bani Manbah,بني منبه,YE110230,Bani Manbah,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
1603:45:16:887:3:110231,110231,1603:45:16:887:0,1603:45:16:887:1:11,1603:45:16:887:2:1102,1603:45:16:887:3:110231,Aryab,ارياب,YE110231,Aryab,,,,,Yarim,يريم,YE1102,Ibb,اب,YE11,Yemen,اليمن,YE,2019-02-01,2021-02-11,
