#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:894:1:10,10,1603:45:16:894:0,1603:45:16:894:1:10,Central,ZM10,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:11,11,1603:45:16:894:0,1603:45:16:894:1:11,Muchinga,ZM11,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:20,20,1603:45:16:894:0,1603:45:16:894:1:20,Copperbelt,ZM20,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:30,30,1603:45:16:894:0,1603:45:16:894:1:30,Eastern,ZM30,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:40,40,1603:45:16:894:0,1603:45:16:894:1:40,Luapula,ZM40,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:50,50,1603:45:16:894:0,1603:45:16:894:1:50,Lusaka,ZM50,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:60,60,1603:45:16:894:0,1603:45:16:894:1:60,Northern,ZM60,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:70,70,1603:45:16:894:0,1603:45:16:894:1:70,North-Western,ZM70,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:80,80,1603:45:16:894:0,1603:45:16:894:1:80,Southern,ZM80,,,,Zambia,ZM,2020-11-26,2020-11-26,
1603:45:16:894:1:90,90,1603:45:16:894:0,1603:45:16:894:1:90,Western,ZM90,,,,Zambia,ZM,2020-11-26,2020-11-26,
