#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum,#status+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#item+rem+i_qcc+is_zxxx+ix_iso5218
1603:99:876:0:999,0_999,,,//Human sexuality (meta dictionaries)//,,,,
1603:99:876:1,1,30,19,"//Glossary of biological sex, gender identify, grammatical gender and third-person pronouns//",,,,
1603:99:876:2,2,30,19,//Dictionaries of human biological sex//,,,,0
1603:99:876:2:0,2_0,30,19,/Not known/@eng-Latn,,,,1
1603:99:876:2:1,2_1,30,19,/Male/@eng-Latn,,,,2
1603:99:876:2:2,2_2,30,19,/Female/@eng-Latn,,,,9
1603:99:876:2:9,2_9,30,19,/Not applicable/@eng-Latn,,,,
1603:99:876:3,3,30,19,//Dictionaries of human gender identity//,,,,
1603:99:876:4,4,30,19,//Dictionaries of grammatical gender//,,,,
1603:99:876:5,5,30,19,//Dictionaries of third-person pronouns//,,,,
