Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Numerordinatio,//Cōdex annotātiōnibus internālibus//,Regex,//opus papȳrō ex 1603//,Wikidata QID,Multiple languages,"Multiple languages, meta",Trivia,Trivia,"IRI to book, if any","IRI to book, if any, meta",Latinitatis Vivae,"Latinitatis Vivae, meta",Lingua Arabica,Lingua Arabica (meta),Lingua Russica (Abecedarium Cyrillicum),Lingua Russica (Abecedarium Cyrillicum); meta,Lingua Bengali ,Lingua Bengali ; meta,Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_n1603op,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#meta+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#meta+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_lat+is_latn,#meta+rem+i_lat+is_latn,#item+rem+i_arb+is_arab,#meta+rem+i_arb+is_arab,#item+rem+i_rus+is_cyrl,#meta+rem+i_rus+is_cyrl,#item+rem+i_ben+is_beng,#meta+rem+i_ben+is_beng,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_50,11,11,,,,,,,,,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,11,11,,,,,,,,,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,11,11,,,,,,,,,,,,,,,,,,,,2022-01-01,Needs review exact date
1,70,70,1603:1,,,10,,//Meta dictiōnārium//,Meta dictionary = dictionary about dictionary,,,,,,,,,,,,,,
1_1,60,60,1603:1:1,internale-100|publicum-10,,,,//Numeroclatura Generālium ad MM ex Numerordĭnātĭo//@lat-Latn,Dataset which gives overview of all namespaces (hint: it's this file),,,,,,,,,,,,,,
1_2,20,20,1603:1:2,,,,,/Dictiōnāria de symbolī numerīs/,,,,,,/Dictiōnāria de symbolī numerīs/,,,,,,,,,
1_3,20,20,1603:1:3,,,,,/Dictiōnāria de symbolī ab systemata scrīpta/,,,,,,/Dictiōnāria de symbolī ab systemata scrīpta/,,,,,,,,,
1_4,20,20,1603:1:4,,,,,/Dictiōnāria de systemata scrīpta/,,,,,,/Dictiōnāria de systemata scrīpta/,,,,,,,,,
1_5,10,10,1603:1:5,,,,,Concept of language,,,,,,,,,,,,,,,
1_6,10,10,1603:1:6,internale-20|publicum-10,,11,,/Dictiōnāria de terminī typīs/,https://github.com/EticaAI/multilingual-lexicography/issues/16,,,,,,,,,,,,,,
1_7,10,10,1603:1:7,internale-90|publicum-10,,12,,//Dictiōnāria basibus dē rēs interlinguīs//,,,,,,,,,,,,,,,
1_10,10,10,1603:1:10,,,,,//(Reserved namespace to document numeric suffixes)//,,,,,,,,,,,,,,,
1_13,10,10,1603:1:13,,,,,,,[13] 1603:13 HXL Normae,,,,,,,,,,,,,
1_13_22,10,10,1603:1:13:22,,,,,//Pre-build list of all +v_* attributes on 1603//,,[22] V,,,,,,,,,,,,,
1_13_24,10,10,1603:1:13:24,,,,,//Pre-build list of all +ix_* attributes on 1603//,,[24] X,,,,,,,,,,,,,
1_20,50,50,1603:1:20,,,,,"Concept of number, prebuild tables",,,,,,,,,,,,,,,
1_51,50,50,1603:1:51,internale-90|publicum-10,,13,,//Dictiōnāria Linguārum ad MMXXII ex Numerordĭnātĭo//,,,,,,//Dictiōnāria Linguārum ad MMXXII ex Numerordĭnātĭo//,,,,,,,,,
1_99,20,20,1603:1:99,internale-20|publicum-10,,15,,Nōtitiae temporāriōrum circā librārium,,,,,,,,,,,,,,,
1_101,50,50,1603:1:101,experimentum-50|internale-20|publicum-10,,16,,//Dictiōnāria Archīōrum ad MMXXII ex Numerordĭnātĭo//,,,,,,//Dictiōnāria Archīōrum ad MMXXII ex Numerordĭnātĭo//,,,,,,,,,
3,50,50,1603:3,,,,Q1093434,Commūnitās scientiae,https://www.wikidata.org/wiki/Q1093434,[2003] Wikipedia,,,,Commūnitās scientiae,,بعلم المواطنين,,Гражданская наука,,,,,
3_12,50,50,1603:3:12,,,,Q2013,Vicidata,https://www.wikidata.org/wiki/Q2013,[2012] Wikidata,,,,Vicidata,,,,,,,,,
3_12_6,10,10,1603:3:12:6,,,17,Q18616576,//Speciālis collēctiōnī de Vicidata Proprietātī//,,[6] (16 - 10) P,,,,//Speciālis collēctiōnī de Vicidata Proprietātī//,,,,,,,,,
3_12_16,10,10,1603:3:12:16,,,,Q18616576,Vicidata Proprietātī,,[16] P,,,,Vicidata Proprietātī,,,,,,,,,
3_12_17,10,10,1603:3:12:17,,,,Q43649390,Vicidata rēs identitāte,,[17] Q,,,,Vicidata rēs identitāte,,,,,,,,,
3_1603,10,10,1603:3:1603,,,,,/Communitary translations via Wikidata/,,,,,,,,,,,,,,,
3_1603_45,10,10,1603:3:1603:45,,,,,,,,,,,,,,,,,,,,
3_1603_45_1,10,10,1603:3:1603:45:1,,,,,,,,,,,,,,,,,,,,
13,10,10,1603:13,,,,,HXL Normae,,[2013-12-01] HXL Standard,,https://www.elrha.org/wp-content/uploads/2017/05/hif-alnap-unocha-exchange-language-case-study-2016-1.pdf,,HXL Normae,,,,,,,,,
14,50,50,1603:14,,,,,//Librārium mīlitārī//,,"[14] 1914, Primum bellum mundanum",,,,,,,,,,,,,
14_997,10,10,1603:14:997,,,,,//Dictiōnāria dē relevāminibus per bellīs//,,,,,,,,,,,,,,,
13_1603,10,10,1603:13:1603,,,,,/HXL replacement maps to other namespaces/@eng-Latn,,,,,,,,,,,,,,,
13_1603_49,10,10,1603:13:1603:49,,,,,/HXL replacement maps to UN m49 from other namespaces/@eng-Latn,,,,,,,,,,,,,,,
17,2,2,1603:17,deprecatum-50,,,,Preview namespace,,,,,,,,,,,,,,,
17_2,2,2,1603:17:2,deprecatum-50,,,,Numeric to letter mappings,,,,,,,,,,,,,,,
17_2_60,2,2,1603:17:2:60,deprecatum-50,,,,(DEPRECATED) Prebuild equivalence betewn number and base 60 custom table used on 1603,,,,,,,,,,,,,,,
17_17,2,2,1603:17:17,deprecatum-50,,,,"(DEPRECATED) 1603_17_17 deprecated, use 1603_3_12_6",,,,,,Medicina,,الطِّبُّ,,Медицина,,চিকিৎসা বিজ্ঞান,,,
23,50,50,1603:23,,,,,//Librārium lēgī//,[23] 𒌷𒅗𒄀𒈾,,,,,,,,,,,,,,
23_21,50,50,1603:23:21,,,18,,//Dictiōnāria dē Iurum humanorum defensor//,[21] Iurum humanorum defensor; I (9) + H (8) + D (4) = 21,,,,,,,,,,,,,,
23_36,50,50,1603:23:36,,,19,,//Dictiōnāria dē intraimperiīs lēgisperītīs per lēgēs certiōrātū//,[36] Weiquan Movement; W + M = 36,,,,,,,,,,,,,,
25,50,50,1603:25,,,,Q11190,Medicina,https://www.wikidata.org/wiki/Q11190,[1025] قانون در طب,,https://archive.org/details/AlQaawnoonFiTTwibb/Al-Qaawnoon%20fi-t-Twibb/mode/2up,,Mīlitāris scientiae,,علوم عسكرية,,Военная наука,,সামরিক বিজ্ঞান,,,
25_1,50,50,1603:25:1,publicum-30,,20,,//dictiōnāria de partes corporis humani//,@TODO: necessary name more generic (like external or generic) since this dictionary is not full anatomical body parts,,,,,/dictiōnāria de partes corporis humani/,,,,,,,,,
32,20,20,1603:32,,,,,/Translitteratio librāriīs/,,"[32] Translitteratio; T=20, L=12; 20 + 12 = 32",,,,,,,,,,,,,
42,50,50,1603:42,,,,Q192386,Mīlitāris scientiae,https://www.wikidata.org/wiki/Q192386,[142] (142 -100) 魏伯陽 ,,https://archive.org/search.php?query=title%3A%28%E6%AD%A6%E7%B6%93%E7%B8%BD%E8%A6%81%29,,Forēnsis scientiae,,علم الأدلة الجنائية,,Криминалистическая экспертиза,,ফরেনসিক বিজ্ঞান,,,
