Codicem,Latin ,"Latin, meta"
#item+conceptum+codicem,#item+rem+i_lat+is_latn,#meta+rem+i_lat+is_latn
1,metadata about 1603,
3,,
3_12,Wikidata,
13,Default namespace to be used for HXL queries,
13_1603,/HXL replacement maps to other namespaces/@eng-Latn,
13_1603_49,/HXL replacement maps to UN m49 from other namespaces/@eng-Latn,
17,,
17_2,Numeric to letter mappings,
17_2_60,Prebuild equivalence betewn number and base 60 custom table used on 1603,
17_17, ,
44,,
45,Default namespace to be reused for codes released by UN agencies,
45_16,P-Codes (countries replaced with UN m49),
45_49,UN m49,
47,Default namespace to be reused for ISO-like queries (most used for internal queries),
47_15924,ISO 15924,
87,Default namespace to be reused for Unicode-like queries (most used for internal queries),
142,,
994,/dentāle vocābulāriō/,
2600,Multiplication tables,
2600_1,Pre build tables with equivalence between numeric systems,
2600_2,Prebuild equivalence betewn number and base 60 custom table used on 1603,
