Codicem,Wikidata QID,Numerordinatio,Linguae multiplīs (Scrīptum incognitō),Lingua Lusitana (Abecedarium Latinum),"Wikidata QID, meta",Cōdex factō,Cōdex factō; meta,i,j,k,l,m,n,o,p
#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_mul+is_zyyy,#item+rem+i_por+is_latn,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,
0_1603_1_7_2616_98,,,,,,EticaAI,,,,,,,,,
0_1603_1_7_2616_577,,,,,,2022-04-24,,,,,,,,,
0_1603_1_7_2616_859,,,,,,pro bonō publicō,,,,,,,,,
0_1603_1_7_2616_2479,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal,,,,,,,,
0_1603_1_7_2616_7535,,,,,,//Dicionários de lista de potenciais futuros dicionários//@por-Latn,,,,,,,,,
1,,,/Dicionários internos/@por-latn,,,,,,,,,,,,
100,,,/Estatística/@por-Latn,,,,,,,,,,,,
100_1,Q7295720,,/Escala de classificação/@por-Latn,,,,,,,,,,,,
100_1_5,Q617473,,/Escala Likert/@por-Latn,,,,,,,,,,,,
100_1_10,Q7429725,,/Escala de um a dez/@por-Latn,,,,,,,,,,,,
200,Q41710,,/Grupo étnico/@por-Latn,,,,,,,,,,,,
200_1,Q780000,,/Lista de grupos étnicos/@por-Latn,,,,,,,,,,,,
320,Q134550,,/Transliteração/@por-Latn,,,,,,,,,,,,
320_1,Q466126,,/Romanização do grego/@por-Latn,,,,,,,,,,,,
320_2,Q6453319,,/Romanização do russo/@por-Latn,,,,,,,,,,,,
876,Q154136,1604_99_876,/Sexualidade humana/@por-Latn,,,,,,,,,,,,
876_2,Q290,,/Sexo biológico/@por-Latn,,,,,,,,,,,,
876_3,Q48264,,/Identidade de gênero/@por-Latn,,,,,,,,,,,,
876_4,Q162378,,//Dictionaries of grammatical gender//,,,,,,,,,,,,
876_5,,,//Dictionaries of third-person pronouns//,,,,,,,,,,,,
3000,Q56061,,/Divisão administrativa/@por-Latn,,,,,,,,,,,,
3000_1,Q11750,,/Lista de Estados soberanos/@por-Latn,,,,,,,,,,,,
