#meta+id,#meta+archivum,#meta+conceptum+total,#meta+caput+total,#status+ix_hxlix,#status+ix_hxlvoc,#status+ix_wikip,#status+ix_wikiq,#meta+caput,#meta+value+ix_hxlix,#meta+value+ix_hxlvoc,#meta+value+ix_wikip,#meta+value+ix_wikiq
1603_1_101,1603/1/101/1603_1_101.no1.tm.hxl.csv,15,5,0,0,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_qcc+is_zxxx+ix_uid|#item+rem+i_mul+is_zyyy|#item+rem+i_qcc+is_zxxx+ix_wikiq,,,,
1603_1_1,1603/1/1/1603_1_1.no1.tm.hxl.csv,52,14,0,0,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#status+conceptum|#status+conceptum+codicem|#item+rem+i_qcc+is_zxxx+ix_n1603|#item+rem+i_qcc+is_zxxx+ix_regex|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_mul+is_zyyy|#item+rem+i_mul+is_zyyy+ix_trivium|#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri|#item+rem+i_lat+is_latn|#item+rem+i_arb+is_arab|#item+rem+i_rus+is_cyrl|#item+rem+i_ben+is_beng,,,,
1603_1_4,1603/1/4/1603_1_4.no1.tm.hxl.csv,213,6,0,0,0,0,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_zxx+is_latn+ix_iso1524a|#item+rem+i_zxx+is_zmth+ix_iso1524n|#item+rem+i_eng+is_latn|#item+rem+i_fra+is_latn,,,,
1603_1_51,1603/1/51/1603_1_51.no1.tm.hxl.csv,51,13,0,0,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#status+conceptum|#status+conceptum+codicem|#item+rem+i_qcc+is_zxxx+ix_uid|#item+rem+i_qcc+is_zxxx+ix_csvsffxm|#item+rem+i_qcc+is_zxxx+ix_hxla|#item+rem+i_lat+is_latn|#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_linguam|#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_scriptum|#item+rem+i_qcc+is_zxxx+ix_wikilngm|#item+rem+i_qcc+is_zxxx+ix_glottocode|#item+rem+i_qcc+is_zxxx+ix_iso639p3a3,,,,
1603_25_1,1603/25/1/1603_25_1.no1.tm.hxl.csv,11,9,0,1,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#status+conceptum|#status+conceptum+codicem|#item+rem+i_lat+is_latn|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_qcc+is_zxxx+ix_ta98|#item+rem+i_qcc+is_zxxx+ix_hxlvoc|#item+rem+i_eng+is_latn,,,,
1603_3_12_6,1603/3/12/6/1603_3_12_6.no1.tm.hxl.csv,35,7,1,1,1,0,#item+conceptum+numerordinatio|#item+conceptum+codicem|#status+conceptum|#status+conceptum+codicem|#item+rem+i_qcc+is_zxxx+ix_wikip|#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix|#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc,,,,
1603_44_1,1603/44/1/1603_44_1.no1.tm.hxl.csv,5,8,1,1,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#status+conceptum|#status+conceptum+codicem|#item+rem+i_lat+is_latn|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_qcc+is_zxxx+ix_hxlix|#item+rem+i_qcc+is_zxxx+ix_hxlvoc,,,,
1603_44_142,1603/44/142/1603_44_142.no1.tm.hxl.csv,18,7,0,1,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_por+is_latn|#item+rem+i_eng+is_latn|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_qcc+is_zxxx+ix_hxlvoc|#item+rem+i_qcc+is_zxxx+ix_hxl,,,,
1603_45_1,1603/45/1/1603_45_1.no1.tm.hxl.csv,95,7,0,0,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_mul+is_zyyy|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_eng+is_latn+ix_signum|#item+rem+i_eng+is_latn+ix_completum|#item+rem+i_eng+is_latn+ix_definitionem,,,,
1603_45_49,1603/45/49/1603_45_49.no1.tm.hxl.csv,250,14,0,0,0,0,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_zxx+is_zmth+ix_unm49|#item+rem+i_zxx+is_zmth+ix_unhrinfo|#item+rem+i_zxx+is_zmth+ix_unreliefweb|#item+rem+i_zxx+is_zmth+ix_unfts|#item+rem+i_zxx+is_latn+ix_iso3166p1a2|#item+rem+i_zxx+is_latn+ix_iso3166p1a3|#item+rem+i_eng+is_latn+ix_unterm|#item+rem+i_fra+is_latn+ix_unterm|#item+rem+i_spa+is_latn+ix_unterm|#item+rem+i_rus+is_cyrl+ix_unterm|#item+rem+i_zho+is_hans+ix_unterm|#item+rem+i_ara+is_arab+ix_unterm,,,,
1603_47_15924,1603/47/15924/1603_47_15924.no1.tm.hxl.csv,213,6,0,0,0,0,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_zxx+is_latn+ix_iso1524a|#item+rem+i_zxx+is_zmth+ix_iso1524n|#item+rem+i_eng+is_latn|#item+rem+i_fra+is_latn,,,,
1603_84_1,1603/84/1/1603_84_1.no1.tm.hxl.csv,69,7,1,1,0,1,#item+conceptum+numerordinatio|#item+conceptum+codicem|#item+rem+i_mul+is_zyyy|#item+rem+i_qcc+is_zxxx+ix_wikiq|#item+rem+i_qcc+is_zxxx+ix_iso3950|#item+rem+i_qcc+is_zxxx+ix_hxlix|#item+rem+i_qcc+is_zxxx+ix_hxlvoc,,,,
