Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Lingua Latina (Abecedarium Latinum),"Lingua Latina (Abecedarium Latinum), metadata",Wikidata QID,"Wikidata QID, meta",/Terminologia Anatomica 98 ID/,/Terminologia Anatomica 98 ID/; meta,HXL hashtag BCP47 alias ,"HXL hashtag BCP47 alias, metadata",HXL hashtag vocabulary,"HXL hashtag vocabulary, metadata",English,"English, meta",Cōdex factō,Cōdex factō; meta,r,s,t,u,v,w
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_lat+is_latn,#meta+rem+i_lat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq,#meta+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip1323,#meta+rem+i_qcc+is_zxxx+ix_wikip1323,#item+rem+i_qcc+is_zxxx+ix_hxlix,#meta+rem+i_qcc+is_zxxx+ix_hxlix,#item+rem+i_qcc+is_zxxx+ix_hxlvoc,#meta+rem+i_qcc+is_zxxx+ix_hxlvoc,#meta+rem+i_eng+is_latn,#meta+rem+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,
0_999,,,partes corporis humani,,,,,,,,,,,,,,,,,,,
0_999_111_1,1,1,Basle Nomina Anatomica (English) https://archive.org/details/cu31924024790648,,,,,,,,,,,,,,,,,,,
0_999_111_2,1,1,Wikidata TA98 https://w.wiki/4mMb,,,,,,,,,,,,,,,,,,,
0_999_999_1,1,1,picuram de https://archive.org/details/anatomyofhumanbo1918gray/page/182/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_2,1,1,picuram de https://archive.org/details/anatomyofhumanbo1918gray/page/186/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_3,1,1,picturam de https://commons.wikimedia.org/wiki/File:Gray1211.png,,,,,,,,,,,,,,,,,,,
0_999_999_4,1,1,picturam de https://commons.wikimedia.org/wiki/File:Grays_Anatomy_image1219.gif,,,,,,,,,,,,,,,,,,,
0_999_999_5,1,1,picturam de https://archive.org/details/anatomyofhumanbo1918gray/page/390/mode/2up,,,,,,,,,,,,,,,,,,,
0_999_999_6,1,1,pincuram de https://archive.org/details/anatomyofhumanbo1918gray/page/392/mode/2up,,,,,,,,,,,,,,,,,,,
0_999_999_7,1,1,picturam (caput) de https://archive.org/details/anatomyofhumanbo1918gray/page/898/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_8,1,1,picturam (corpus completus) ad https://archive.org/details/anatomyofhumanbo1918gray/page/918/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_9,1,1,picturam de collum https://archive.org/details/anatomyofhumanbo1918gray/page/1290/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_10,1,1,picturam de abdomen https://archive.org/details/anatomyofhumanbo1918gray/page/1314/mode/2up?view=theater,,,,,,,,,,,,,,,,,,,
0_999_999_11,1,1,"pictura, de (/foot/) https://archive.org/details/anatomyofhumanbo1918gray/page/1338/mode/2up?view=theater",,,,,,,,,,,,,,,,,,,
0_1603_1_7_2616_50,11,11,,,,,,,,,,,,,Multiplicēs scrīptōribus,,,,,,,
0_1603_1_7_2616_123,11,11,,,,,,,,,,,,,EticaAI,,,,,,,
0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,,CC-PDDC,Creative Commons Public Domain Dedication and Certification,,,,,,
0_1603_1_7_2616_577,11,11,,,,,,,,,,,,,2022-01-27,,,,,,,
0_1603_1_7_2616_854,11,11,,,,,,,,,,,,,https://github.com/EticaAI/multilingual-lexicography/issues/11,,,,,,,
0_1603_1_7_2616_7535,11,11,,,,,,,,,,,,,"This Numerodinatio namespace contains dictionaries related to general human body parts. Latin (while a natural language) actually is used as interlingual code. It's mostly based on Basle Nomina Anatomica 1895 (""BNA1895"") and, if any difference, archaic terms are replaced with Terminologia Anatomica 95 (""TA95"").\n\nCompared to BNA1895 and TA95, 1603:25:1 is a very small subset, mostly a map to external body parts.",,,,,,,
1,60,60,caput,https://archive.org/details/anatomyofhumanbo1918gray/page/820/mode/2up?view=theater,Q3409626,/Caput humanum/@lat-Latn,A01.1.00.001,https://ifaa.unifr.ch/Public/EntryPage/TA98%20Tree/Entity%20TA98%20EN/01.1.00.001%20Entity%20TA98%20EN.htm,ix_n1603n25n1caput,,v_n1603_25_1_caput,,Head,,,,,,,,,
1_1,60,19,sinciput,,Q41055,/sinciput/@lat-Latn,A01.1.00.002,,ix_n1603n25n1sinciput,,v_n1603_25_1_sinciput,,,,,,,,,,,
1_2,60,19,occiput,,Q3321315,/occiput/@lat-Latn,A01.1.00.003,https://ifaa.unifr.ch/Public/EntryPage/TA98%20Tree/Entity%20TA98%20EN/01.1.00.003%20Entity%20TA98%20EN.htm,ix_n1603n25n1occiput,,v_n1603_25_1_occiput,,,,,,,,,,,
2,60,60,collum,https://archive.org/details/anatomyofhumanbo1918gray/page/390/mode/2up,,,,,ix_n1603n25n1collum,,v_n1603_25_1_collum,,,,,,,,,,,
3,60,60,truncus,https://commons.wikimedia.org/wiki/File:Grays_Anatomy_image1219.gif,Q160695,/truncus/@lat-Latn,A01.1.00.013,https://ifaa.unifr.ch/Public/EntryPage/TA98%20Tree/Entity%20TA98%20EN/01.1.00.013%20Entity%20TA98%20EN.htm,ix_n1603n25n1truncus,,v_n1603_25_1_truncus,,,,,,,,,,,
3_1,60,19,thorax,,Q9645,/thorax/@eng-Latn,A01.1.00.014,https://ifaa.unifr.ch/Public/EntryPage/TA98%20Tree/Entity%20TA98%20EN/01.1.00.014%20Entity%20TA98%20EN.htm,ix_n1603n25n1thorax,,v_n1603_25_1_thorax,,,,,,,,,,,
