#meta,#meta+archivum,#meta+iso3,#meta+sheets+original,#meta+sheets+new
1603.45.16:,afg.xlsx,afg,afg_adm2 afg_adm1 afg_adm0 ,
1603.45.16:,ago.xlsx,ago,ago_adm3 ago_adm2 ago_adm1 ago_adm0 ,
1603.45.16:,arg.xlsx,arg,arg_adm2 arg_adm1 arg_adm0 ,
1603.45.16:,arm.xlsx,arm,arm_adm2 arm_adm1 arm_adm0 ,
1603.45.16:,aze.xlsx,aze,adm1 adm0 ,
1603.45.16:,bdi.xlsx,bdi,bdi_adm2 bdi_adm1 bdi_adm0 ,
1603.45.16:,ben.xlsx,ben,ben_adm2 ben_adm1 ben_adm0 ,
1603.45.16:,bfa.xlsx,bfa,bfa_adm3 bfa_adm2 bfa_adm1 bfa_adm0 ,
1603.45.16:,bgd.xlsx,bgd,bgd_adm4 bgd_adm3 bgd_adm2 bgd_adm1 bgd_adm0 ,
1603.45.16:,bgr.xlsx,bgr,bgr_adm2 bgr_adm1 bgr_adm0 ,
1603.45.16:,blr.xlsx,blr,blr_adm2 blr_adm1 blr_adm0 ,
1603.45.16:,bmu.xlsx,bmu,bmu_adm2 bmu_adm1 bmu_adm0 ,
1603.45.16:,bol.xlsx,bol,bol_adm3 bol_adm2 bol_adm1 bol_adm0 ,
1603.45.16:,bra.xlsx,bra,adm2 adm1 adm0 ,
1603.45.16:,btn.xlsx,btn,adm2 adm1 adm0 ,
1603.45.16:,caf.xlsx,caf,caf_adm4 caf_adm3 caf_adm2 caf_adm1 caf_adm0 ,
1603.45.16:,chl.xlsx,chl,adm3 adm2 adm1 adm0 ,
1603.45.16:,chn.xlsx,chn,adm2 adm1 adm0 ,
1603.45.16:,civ.xlsx,civ,civ_adm3 civ_adm2 civ_adm1 civ_adm0 ,
1603.45.16:,cmr.xlsx,cmr,cmr_adm3 cmr_adm2 cmr_adm1 cmr_adm0 ,
1603.45.16:,cod.xlsx,cod,cod_adm2 cod_adm1 cod_adm0 ,
1603.45.16:,cog.xlsx,cog,cog_adm2 cog_adm1 cog_adm0 ,
1603.45.16:,col.xlsx,col,col_adm2 col_adm1 col_adm0 ,
1603.45.16:,com.xlsx,com,com_adm3 com_adm2 com_adm1 com_adm0 ,
1603.45.16:,cpv.xlsx,cpv,cpv_adm2 cpv_adm1 cpv_adm0 ,
1603.45.16:,cri.xlsx,cri,adm2 adm1 adm0 ,
1603.45.16:,dji.xlsx,dji,dji_adm2 dji_adm1 dji_adm0 ,
1603.45.16:,dma.xlsx,dma,dma_adm1 dma_adm0 ,
1603.45.16:,dom.xlsx,dom,dom_adm4 dom_adm3 dom_adm2 dom_adm1 dom_adm0 ,
1603.45.16:,dza.xlsx,dza,dza_adm2 dza_adm1 dza_adm0 ,
1603.45.16:,ecu.xlsx,ecu,ecu_adm3 ecu_adm2 ecu_adm1 ecu_adm0 ,
1603.45.16:,egy.xlsx,egy,egy_adm3 egy_adm2 egy_adm1 egy_adm0 ,
1603.45.16:,eri.xlsx,eri,eri_adm2 eri_adm1 eri_adm0 ,
1603.45.16:,eth.xlsx,eth,adm3 adm2 adm1 adm0 ,
1603.45.16:,fji.xlsx,fji,fji_adm3 fji_adm2 fji_adm1 fji_adm0 ,
1603.45.16:,fsm.xlsx,fsm,fsm_adm2 fsm_adm1 fsm_adm0 ,
1603.45.16:,gab.xlsx,gab,gab_adm2 gab_adm1 gab_adm0 ,
1603.45.16:,geo.xlsx,geo,geo_adm2 geo_adm1 geo_adm0 ,
1603.45.16:,gha.xlsx,gha,gha_adm2 gha_adm1 gha_adm0 ,
1603.45.16:,gin.xlsx,gin,gin_adm3 gin_adm2 gin_adm1 gin_adm0 ,
1603.45.16:,gtm.xlsx,gtm,gtm_adm2 gtm_adm1 gtm_adm0 ,
1603.45.16:,guf.xlsx,guf,guf_adm2 guf_adm1 guf_adm0 ,
1603.45.16:,hnd.xlsx,hnd,adm2 adm1 adm0 ,
1603.45.16:,hti.xlsx,hti,hti_adm3 hti_adm2 hti_adm1 hti_adm0 ,
