admin2Name_en,admin2Name_hy,admin2Name_ru,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_hy,admin2AltName2_hy,admin2AltName1_ru,admin2AltName2_ru,admin1Name_en,admin1Name_hy,admin1Name_ru,admin1Pcode,admin0Name_en,admin0Name_hy,admin0Name_ru,admin0Pcode,date,validOn,validTo
Yerevan,Երևան,Ереван,AM011,,,,,,,,Yerevan,Երևան,Ереван,AM01,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ashtarak,Աշտարակ,Аштарак,AM021,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Aparan,Ապարան,Апаран,AM022,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Aragats,Արագած,Арагац,AM023,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Talin,Թալին,Талин,AM024,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ararat,Արարատ,Арарат,AM031,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Artashat,Արտաշատ,Арташат,AM032,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Masis,Մասիս,Масис,AM033,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Armavir,Արմավիր,Армавир,AM041,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Baghramyan,Բաղրամյան,Баграмян,AM042,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vagharshapat,Վաղարշապատ,Вагаршапат,AM043,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Gavar,Գավառ,Гавар,AM051,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Karmir,Կարմիր,Кармир,AM052,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Martuni,Մարտունի,Мартуни,AM053,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Sevan,Սևան,Севан,AM054,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vardenis,Վարդենիս,Варденис,AM055,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Gugark,Գուգարք,Гугарк,AM061,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Tumanian,Թումանյան,Туманян,AM062,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Spitak,Սպիտակ,Спитак,AM063,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
