admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Christ Church,BB01,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Andrew,BB02,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint George,BB03,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint James,BB04,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint John,BB05,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Joseph,BB06,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Lucy,BB07,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Michael,BB08,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Peter,BB09,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Philip,BB10,,,,Barbados,BB,2017-09-07,2019-11-28,
Saint Thomas,BB11,,,,Barbados,BB,2017-09-07,2019-11-28,
