admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Chhoekhor,BT00101,,,,Bumthang,BT001,Bhutan,BT,2019-02-01,2020-10-30,
Chhume,BT00102,,,,Bumthang,BT001,Bhutan,BT,2019-02-01,2020-10-30,
Tang,BT00103,,,,Bumthang,BT001,Bhutan,BT,2019-02-01,2020-10-30,
Ura,BT00104,,,,Bumthang,BT001,Bhutan,BT,2019-02-01,2020-10-30,
Bjachho,BT00201,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Bongo,BT00202,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Chapchha,BT00203,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Dala,BT00204,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Dungna,BT00205,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Geling,BT00206,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Getana,BT00207,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Logchina,BT00208,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Metap,BT00209,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Phuentsholing,BT00210,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Samphelling,BT00211,,,,Chhukha,BT002,Bhutan,BT,2019-02-01,2020-10-30,
Deorali,BT00301,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
Dorona,BT00302,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
Drugyelgang,BT00303,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
Gesarling,BT00304,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
Gozhi,BT00305,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
Kalidzingkha,BT00306,,,,Dagana,BT003,Bhutan,BT,2019-02-01,2020-10-30,
