admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Región de Tarapacá,CL01,Region de Tarapaca,,,Chile,CL,2021-08-03,2021-11-13,
Región de Antofagasta,CL02,Region de Antofagasta,,,Chile,CL,2021-08-03,2021-11-13,
Región de Atacama,CL03,Region de Atacama,,,Chile,CL,2021-08-03,2021-11-13,
Región de Coquimbo,CL04,Region de Coquimbo,,,Chile,CL,2021-08-03,2021-11-13,
Región de Valparaíso,CL05,Region de Valparaiso,,,Chile,CL,2021-08-03,2021-11-13,
Región del Libertador Bernardo O'Higgins,CL06,Region del Libertador Bernardo O Higgins,,,Chile,CL,2021-08-03,2021-11-13,
Región del Maule,CL07,Region del Maule,,,Chile,CL,2021-08-03,2021-11-13,
Región del Bío-Bío,CL08,Region del Bio-Bio,,,Chile,CL,2021-08-03,2021-11-13,
Región de La Araucanía,CL09,Region de La Araucania,,,Chile,CL,2021-08-03,2021-11-13,
Región de Los Lagos,CL10,Region de Los Lagos,,,Chile,CL,2021-08-03,2021-11-13,
Región de Aysén del Gral. Ibañez del Campo,CL11,Region de Aysen del Gral. Ibanez del Campo,,,Chile,CL,2021-08-03,2021-11-13,
Región de Magallanes y Antártica Chilena,CL12,Region de Magallanes y Antartica Chilena,,,Chile,CL,2021-08-03,2021-11-13,
Región Metropolitana de Santiago,CL13,Region Metropolitana de Santiago,,,Chile,CL,2021-08-03,2021-11-13,
Región de Los Ríos,CL14,Region de Los Rios,,,Chile,CL,2021-08-03,2021-11-13,
Región de Arica y Parinacota,CL15,Region de Arica y Parinacota,,,Chile,CL,2021-08-03,2021-11-13,
Región de Ñuble,CL16,Region de Nuble,,,Chile,CL,2021-08-03,2021-11-13,
