admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Iquique,CL01101,,,,Iquique,CL011,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Alto Hospicio,CL01107,,,,Iquique,CL011,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Tocopilla,CL01401,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Camiña,CL01402,Camina,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Colchane,CL01403,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Huara,CL01404,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Pica,CL01405,,,,Tamarugal,CL014,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
Antofagasta,CL02101,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Mejillones,CL02102,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Sierra Gorda,CL02103,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Taltal,CL02104,,,,Antofagasta,CL021,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Calama,CL02201,,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Ollagüe,CL02202,Ollague,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
San Pedro de Atacama,CL02203,,,,El Loa,CL022,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Tocopilla,CL02301,,,,Tocopilla,CL023,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
María Elena,CL02302,Maria Elena,,,Tocopilla,CL023,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
Copiapó,CL03101,Copiapo,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Caldera,CL03102,,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Tierra Amarilla,CL03103,,,,Copiapó,CL031,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Chañaral,CL03201,Chanaral,,,Chañaral,CL032,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Diego de Almagro,CL03202,,,,Chañaral,CL032,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Vallenar,CL03301,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Alto del Carmen,CL03302,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Freirina,CL03303,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
Huasco,CL03304,,,,Huasco,CL033,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
La Serena,CL04101,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
Coquimbo,CL04102,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
Andacollo,CL04103,,,,Elqui,CL041,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
