admin3Name_fr,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_en,admin3AltName2_en,admin2Name_fr,admin2Name_en,admin2Pcode,admin1Name_fr,admin1Name_en,admin1Pcode,admin0Name_fr,admin0Name_en,admin0Pcode,date,validOn,validTo
Ngaoundal,,CM001001001,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Tibati,,CM001001002,,,,,,Djérem,,CM001001,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Galim-Tignere,,CM001002001,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kontcha,,CM001002002,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Baleo,,CM001002003,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Tignere,,CM001002004,,,,,,Faro-et-Déo,,CM001002,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bankim,,CM001003001,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Banyo,,CM001003002,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mayo-Darle,,CM001003003,,,,,,Mayo-Banyo,,CM001003,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Dir,,CM001004001,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Djohong,,CM001004002,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Meiganga,,CM001004003,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoui,,CM001004004,,,,,,Mbéré,,CM001004,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Belel,,CM001005001,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Martap,,CM001005002,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbe,,CM001005003,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nganha,,CM001005004,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 1er,,CM001005005,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 2e,,CM001005006,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ngaoundere 3e,,CM001005007,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nyambaka,,CM001005008,,,,,,Vina,,CM001005,Adamaoua,Adamawa,CM001,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bibey,,CM002001001,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lembe Yezoum,,CM002001002,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbandjock,,CM002001003,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Minta,,CM002001004,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nanga-Eboko,,CM002001005,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nkoteng,,CM002001006,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nsem,,CM002001007,,,,,,Haute-Sanaga,,CM002001,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Batchenga,,CM002002001,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ebebda,,CM002002002,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Elig-Mfomo,,CM002002003,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Evodoula,,CM002002004,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Lobo,,CM002002005,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Monatele,,CM002002006,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Obala,,CM002002007,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Okola,,CM002002008,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Saa,,CM002002009,,,,,,Lekié,,CM002002,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bafia,,CM002003001,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Bokito,,CM002003002,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Deuk,,CM002003003,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kiiki,,CM002003004,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Kon Yambetta,,CM002003005,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Makenene,,CM002003006,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ndikinimeki,,CM002003007,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Nitoukou,,CM002003008,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Ombessa,,CM002003009,,,,,,Mbam-et-Inoubou,,CM002003,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
Mbangassina,,CM002004001,,,,,,Mbam-et-Kim,,CM002004,Centre,Centre,CM002,Cameroun (le),Cameroon,CM,2018-12-17,2019-01-04,
