admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Boko-Songho,CG0101,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Kingoue,CG0102,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Loudima,CG0103,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Mabombo,CG0104,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Madingou,CG0105,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Mfouati,CG0106,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Mouyondzi,CG0107,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Nkayi,CG0108,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Tsiaki,CG0109,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Yamba,CG0110,,,,Bouenza,CG01,Congo (le),CG,2017-07-06,2019-06-17,
Brazzaville,CG0201,,,,Brazzaville,CG02,Congo (le),CG,2017-07-06,2019-06-17,
Boundji,CG0301,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Loukolela,CG0302,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Makoua,CG0303,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Mossaka,CG0304,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Ngoko,CG0305,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Ntokou,CG0306,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Owando,CG0307,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Oyo,CG0308,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Tchikapika,CG0309,,,,Cuvette,CG03,Congo (le),CG,2017-07-06,2019-06-17,
Etoumbi,CG0401,,,,Cuvette-Ouest,CG04,Congo (le),CG,2017-07-06,2019-06-17,
