admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Medellín,CO05001,Medellin,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Abejorral,CO05002,Abejorral,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Abriaquí,CO05004,Abriaqui,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Alejandría,CO05021,Alejandria,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Amagá,CO05030,Amaga,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Amalfi,CO05031,Amalfi,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Andes,CO05034,Andes,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Angelópolis,CO05036,Angelopolis,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Angostura,CO05038,Angostura,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Anorí,CO05040,Anori,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Santa Fé de Antioquia,CO05042,Santa Fe de Antioquia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Anzá,CO05044,Anza,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Apartadó,CO05045,Apartado,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Arboletes,CO05051,Arboletes,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Argelia,CO05055,Argelia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Armenia,CO05059,Armenia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Barbosa,CO05079,Barbosa,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Belmira,CO05086,Belmira,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Bello,CO05088,Bello,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Betania,CO05091,Betania,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Betulia,CO05093,Betulia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Ciudad Bolívar,CO05101,Ciudad Bolivar,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Briceño,CO05107,Briceno,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Buriticá,CO05113,Buritica,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Cáceres,CO05120,Caceres,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Caicedo,CO05125,Caicedo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Caldas,CO05129,Caldas,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Campamento,CO05134,Campamento,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Cañasgordas,CO05138,Canasgordas,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Caracolí,CO05142,Caracoli,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Caramanta,CO05145,Caramanta,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Carepa,CO05147,Carepa,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
El Carmen de Viboral,CO05148,El Carmen de Viboral,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Carolina,CO05150,Carolina,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Caucasia,CO05154,Caucasia,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Chigorodó,CO05172,Chigorodo,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
Cisneros,CO05190,Cisneros,,,Antioquia,CO05,Colombia,CO,2020-01-01,2021-02-11,
