admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Domoni,KM11,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mrémani,KM12,Mremani,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Mutsamudu,KM13,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Ouani,KM14,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Sima,KM15,,,,Anjouan (Ndzouani),KM1,Comoros (the),KM,2018-12-28,2019-12-05,
Hamahamet-Mboinkou,KM21,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Hambou,KM22,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Itsandra-Hamanvou,KM23,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Mbadjini Est,KM24,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Mbadjini Ouest,KM25,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Mitsamiouli-Mboudé,KM26,Mitsamiouli-Mboude,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Moroni-Bambao,KM27,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Oichili-Dimani,KM28,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Kartala,KM29,,,,Grande Comore (Ngazidja),KM2,Comoros (the),KM,2018-12-28,2019-12-05,
Djando,KM31,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Fomboni,KM32,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
Nioumachioi,KM33,,,,Mohéli (Mwali),KM3,Comoros (the),KM,2018-12-28,2019-12-05,
