admin1Name_pt,admin1Pcode,admin1RefName,admin1AltName1_pt,admin1AltName2_pt,admin0Name_pt,admin0Pcode,date,validOn,validTo
Boa Vista,CV01,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Brava,CV02,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Maio,CV03,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Mosteiros,CV04,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Paul,CV05,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Porto Novo,CV06,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Praia,CV07,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Ribeira Brava,CV08,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Ribeira Grande,CV09,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Ribeira Grande de Santiago,CV10,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sal,CV11,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Santa Catarina,CV12,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Santa Catarina Do Fogo,CV13,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Santa Cruz,CV14,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Domingos,CV15,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Filipe,CV16,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Lourenco Dos Orgaos,CV17,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Miguel,CV18,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Salvador Do Mundo,CV19,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Sao Vicente,CV20,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Tarrafal,CV21,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
Tarrafal De Sao Nicolau,CV22,,,,Cabo Verde,CV,2017-12-27,2022-03-24,
