admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
St. Andrew,DM01,,,,Dominica,DM,2017-09-07,2021-12-02,
St. David,DM02,,,,Dominica,DM,2017-09-07,2021-12-02,
St. George,DM03,,,,Dominica,DM,2017-09-07,2021-12-02,
St. John,DM04,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Joseph,DM05,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Luke,DM06,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Mark,DM07,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Patrick,DM08,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Paul,DM09,,,,Dominica,DM,2017-09-07,2021-12-02,
St. Peter,DM10,,,,Dominica,DM,2017-09-07,2021-12-02,
