admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Cuenca,EC010150,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Baños,EC010151,Banos,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Cumbe,EC010152,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Chaucha,EC010153,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Checa (Jidcay),EC010154,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Chiquintad,EC010155,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Llacao,EC010156,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Molleturo,EC010157,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Nulti,EC010158,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Octavio Cordero Palacios (Sta. Rosa),EC010159,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Paccha,EC010160,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Quingeo,EC010161,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Ricaurte,EC010162,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
San Joaquin,EC010163,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Santa Ana,EC010164,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Sayausi,EC010165,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Sidcay,EC010166,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Sinincay,EC010167,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Tarqui,EC010168,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Turi,EC010169,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Valle,EC010170,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Victoria del Portete (Irquis),EC010171,,,,Cuenca,EC0101,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Giron,EC010250,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Asuncion,EC010251,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
San Gerardo,EC010252,,,,Giron,EC0102,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Gualaceo,EC010350,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Daniel Cordova Toral (El Oriente),EC010352,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Jadan,EC010353,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Mariano Moreno,EC010354,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Remigio Crespo Toral (Gulag),EC010356,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
San Juan,EC010357,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Zhidmad,EC010358,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Luis Cordero Vega,EC010359,,,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Simon Bolivar (Cab. en Gañanzol),EC010360,Simon Bolivar (Cab. en Gananzol),,,Gualaceo,EC0103,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Nabon,EC010450,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Cochapata,EC010451,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
El Progreso (Cab. en Zhota),EC010452,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Las Nieves (Chaya),EC010453,,,,Nabon,EC0104,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
Paute,EC010550,,,,Paute,EC0105,Azuay,EC01,Ecuador (el),EC,2018-12-17,2019-07-24,
