admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Zemam Out,خارج الزمام,EG0100,Zemam Out,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Tibbin,قسم  التبين,EG0101,Al Tibbin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Hilwan,قسم حلوان,EG0102,Hilwan,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
15 Mayu,قسم  15 مايو,EG0103,15 Mayu,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Maadi,قسم المعادي,EG0104,Maadi,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Tura,قسم  طره,EG0105,Tura,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Misr Al-Qadima,مصر القديمة,EG0106,Misr Al-Qadima,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Sayyida Zainab,قسم  السيدة زينب,EG0107,Sayyida Zainab,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Khalifa,قسم  الخليفة,EG0108,Al Khalifa,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Abdin,قسم عابدين,EG0109,Abdin,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Muski,قسم الموسكي,EG0110,Muski,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Qasr Al-Nile,قسم  قصر النيل,EG0111,Qasr Al-Nile,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bulaq,قسم بولاق,EG0112,Bulaq,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Azbakiyya,قسم  الأزبكية,EG0113,Al Azbakiyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Al Darb al-Ahmar,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Gamaliyya,قسم  الجمالية,EG0115,Gamaliyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Bab Al-Shariyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Zahir,قسم  الظاهر,EG0117,Al Zahir,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Sharabiyya,قسم  الشرابية,EG0118,Al Sharabiyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Shubra,قسم شبرا,EG0119,Shubra,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Rud Al-Farag,قسم روض الفرج,EG0120,Rud Al-Farag,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Sahil,قسم الساحل,EG0121,Al Sahil,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Wayli,قسم الوايلي,EG0122,Al Wayli,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Hadaiq Al-Qubba,قسم حدائق القبة,EG0123,Hadaiq Al-Qubba,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Zaytun,قسم الزيتون,EG0124,Al Zaytun,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Al Matariyya,قسم المطرية,EG0125,Al Matariyya,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Nasr City,قسم أول مدينة نصر,EG0126,Nasr City,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
Madinat Nasr-2,قسم  ثان مدينة نصر,EG0127,Madinat Nasr-2,,,,,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
