admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
,التبين البحرية,EG010101,,,,,,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,التبين القبلية,EG010102,,,,,,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حكر التبين,EG010103,,,,,,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,مدينة الصلب,EG010104,,,,,,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,مساكن التبين الشعبية,EG010105,,,,,,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المساكن الاقتصادية,EG010201,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المعصرة البلد,EG010202,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,المعصرة المحطة,EG010203,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حلوان البحرية,EG010204,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حلوان البلد,EG010205,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حلوان الشرقية,EG010206,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حلوان الغربية,EG010207,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,حلوان القبلية,EG010208,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,كفر العلو,EG010209,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,منشأة ناصر,EG010210,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,عين حلوان,EG010211,,,,,,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشياخة الأولى,EG010301,,,,,,15 Mayu,قسم  15 مايو,EG0103,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشياخة الثانية و تشمل المجاورات من 7 إلى 21,EG010302,,,,,,15 Mayu,قسم  15 مايو,EG0103,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الشياخة الثالثة و تشمل المجاورات من 2 إلى 52,EG010303,,,,,,15 Mayu,قسم  15 مايو,EG0103,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معادي الخبيري الشرقية,EG010401,,,,,,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معادي الخبيري الغربية,EG010402,,,,,,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معادي الخبيري الوسطي,EG010403,,,,,,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معادي السرايات الشرقية,EG010404,,,,,,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,معادي السرايات الغربية,EG010405,,,,,,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
,الحجارة,EG010501,,,,,,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2006-01-01,2017-04-21,
