admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Tigray,ET01,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Afar,ET02,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Amhara,ET03,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Oromia,ET04,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Somali,ET05,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Benishangul Gumz,ET06,,,,Ethiopia,ET,2020-10-13,2021-12-16,
SNNP,ET07,,,,Ethiopia,ET,2020-10-13,2021-12-16,
South West Ethiopia,ET11,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Gambela,ET12,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Harari,ET13,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Addis Ababa,ET14,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Dire Dawa,ET15,,,,Ethiopia,ET,2020-10-13,2021-12-16,
Sidama,ET16,,,,Ethiopia,ET,2020-10-13,2021-12-16,
