admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Aceh,ID11,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sumatera Utara,ID12,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sumatera Barat,ID13,,,,Indonesia,ID,2019-12-20,2020-04-01,
Riau,ID14,,,,Indonesia,ID,2019-12-20,2020-04-01,
Jambi,ID15,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sumatera Selatan,ID16,,,,Indonesia,ID,2019-12-20,2020-04-01,
Bengkulu,ID17,,,,Indonesia,ID,2019-12-20,2020-04-01,
Lampung,ID18,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kepulauan Bangka Belitung,ID19,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kepulauan Riau,ID21,,,,Indonesia,ID,2019-12-20,2020-04-01,
Dki Jakarta,ID31,,,,Indonesia,ID,2019-12-20,2020-04-01,
Jawa Barat,ID32,,,,Indonesia,ID,2019-12-20,2020-04-01,
Jawa Tengah,ID33,,,,Indonesia,ID,2019-12-20,2020-04-01,
Daerah Istimewa Yogyakarta,ID34,,,,Indonesia,ID,2019-12-20,2020-04-01,
Jawa Timur,ID35,,,,Indonesia,ID,2019-12-20,2020-04-01,
Banten,ID36,,,,Indonesia,ID,2019-12-20,2020-04-01,
Bali,ID51,,,,Indonesia,ID,2019-12-20,2020-04-01,
Nusa Tenggara Barat,ID52,,,,Indonesia,ID,2019-12-20,2020-04-01,
Nusa Tenggara Timur,ID53,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kalimantan Barat,ID61,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kalimantan Tengah,ID62,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kalimantan Selatan,ID63,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kalimantan Timur,ID64,,,,Indonesia,ID,2019-12-20,2020-04-01,
Kalimantan Utara,ID65,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sulawesi Utara,ID71,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sulawesi Tengah,ID72,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sulawesi Selatan,ID73,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sulawesi Tenggara,ID74,,,,Indonesia,ID,2019-12-20,2020-04-01,
Gorontalo,ID75,,,,Indonesia,ID,2019-12-20,2020-04-01,
Sulawesi Barat,ID76,,,,Indonesia,ID,2019-12-20,2020-04-01,
Maluku,ID81,,,,Indonesia,ID,2019-12-20,2020-04-01,
Maluku Utara,ID82,,,,Indonesia,ID,2019-12-20,2020-04-01,
Papua Barat,ID91,,,,Indonesia,ID,2019-12-20,2020-04-01,
Papua,ID94,,,,Indonesia,ID,2019-12-20,2020-04-01,
