admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Simeulue,ID1101,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Singkil,ID1102,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Selatan,ID1103,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Tenggara,ID1104,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Timur,ID1105,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Tengah,ID1106,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Barat,ID1107,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Besar,ID1108,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Pidie,ID1109,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Bireuen,ID1110,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Utara,ID1111,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Barat Daya,ID1112,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Gayo Lues,ID1113,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Tamiang,ID1114,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Nagan Raya,ID1115,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Aceh Jaya,ID1116,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Bener Meriah,ID1117,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Pidie Jaya,ID1118,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Kota Banda Aceh,ID1171,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Kota Sabang,ID1172,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Kota Langsa,ID1173,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Kota Lhokseumawe,ID1174,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Kota Subulussalam,ID1175,,,,Aceh,ID11,Indonesia,ID,2019-12-20,2020-04-01,
Nias,ID1201,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Mandailing Natal,ID1202,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Tapanuli Selatan,ID1203,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Tapanuli Tengah,ID1204,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Tapanuli Utara,ID1205,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Toba Samosir,ID1206,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Labuhan Batu,ID1207,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
Asahan,ID1208,,,,Sumatera Utara,ID12,Indonesia,ID,2019-12-20,2020-04-01,
