admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
,,,KG02205000901,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG02205000902,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG02205000907,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02205000908,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Ak-Bulun,Ак-Булунский,Ак-Булуң,KG02205805000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Beryu-Bash,Берю-Башский,Бөрү-Баш,KG02205807000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kara-Djal,Кара-Джалский,Кара-Жал,KG02205812000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Karakol,Караколский,Каракол,KG02205813000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kerege-Tash,Кереге-Ташский,Кереге-Таш,KG02205818000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Novovoznesenovka,Нововознесеновский,Нововознесеновка,KG02205825000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Oktyabr′,Октябрьский,Октябрь,KG02205832000,Oktyabr,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Otradnoe,Отрадненский,Отрадное,KG02205835000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Ak-Chiy,Ак-Чийский,Ак-Чий,KG02205840000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Tepken,Тепкенский,Тепкен,KG02205844000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Teploklyuchenka,Теплоключенский,Теплоключенка,KG02205848000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Chelpek,Челпекский,Челпек,KG02205850000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Enilchek,Энильчекский,Эңилчек,KG02205852000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Jyrgalan,Жыргаланский,Жыргалаң,KG02205855000,,,,,,,,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG02210000901,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG02210000902,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG02210000907,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02210000908,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
Ak-Debe,Ак-Дебенский,Ак-Дөбө,KG02210805000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Barskoon,Барскоонский,Барскоон,KG02210815000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Darkan,Дарканский,Даркан,KG02210820000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Djargylchak,Джаргылчакский,Жаргылчак,KG02210825000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Djeti-Oguz,Джети-Огузский,Жети-Өгүз,KG02210830000,,,,,,,,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
