admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Banteay Meanchey,KH01,,,,Cambodia,KH,2014-10-14,2018-10-04,
Battambang,KH02,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kampong Cham,KH03,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kampong Chhnang,KH04,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kampong Speu,KH05,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kampong Thom,KH06,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kampot,KH07,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kandal,KH08,,,,Cambodia,KH,2014-10-14,2018-10-04,
Koh Kong,KH09,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kratie,KH10,,,,Cambodia,KH,2014-10-14,2018-10-04,
Mondul Kiri,KH11,,,,Cambodia,KH,2014-10-14,2018-10-04,
Phnom Penh,KH12,,,,Cambodia,KH,2014-10-14,2018-10-04,
Preah Vihear,KH13,,,,Cambodia,KH,2014-10-14,2018-10-04,
Prey Veng,KH14,,,,Cambodia,KH,2014-10-14,2018-10-04,
Pursat,KH15,,,,Cambodia,KH,2014-10-14,2018-10-04,
Ratanak Kiri,KH16,,,,Cambodia,KH,2014-10-14,2018-10-04,
Siemreap,KH17,,,,Cambodia,KH,2014-10-14,2018-10-04,
Preah Sihanouk,KH18,,,,Cambodia,KH,2014-10-14,2018-10-04,
Stung Treng,KH19,,,,Cambodia,KH,2014-10-14,2018-10-04,
Svay Rieng,KH20,,,,Cambodia,KH,2014-10-14,2018-10-04,
Takeo,KH21,,,,Cambodia,KH,2014-10-14,2018-10-04,
Oddar Meanchey,KH22,,,,Cambodia,KH,2014-10-14,2018-10-04,
Kep,KH23,,,,Cambodia,KH,2014-10-14,2018-10-04,
Pailin,KH24,,,,Cambodia,KH,2014-10-14,2018-10-04,
Tboung Khmum,KH25,,,,Cambodia,KH,2014-10-14,2018-10-04,
