admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Christ Church Nichola Town,KN01,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Anne Sandy Point,KN02,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint George Basseterre,KN03,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint George Gingerland,KN04,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint James Windward,KN05,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint John Capisterre,KN06,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint John Figtree,KN07,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Mary Cayon,KN08,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Paul Capisterre,KN09,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Paul Charlestown,KN10,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Peter Basseterre,KN11,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Thomas Lowland,KN12,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Saint Thomas Middle Island,KN13,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
Trinity Palmetto Point,KN14,,,,Saint Kitts and Nevis,KN,2017-09-08,2020-03-19,
