admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
Beirut,بيروت,LB11,,,,,,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Baalbek,بعلبك,LB21,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Hermel, الهرمل,LB22,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Rachaya,راشيا,LB23,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
West Bekaa,البقاع الغربي,LB24,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Zahle,زحلة,LB25,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Aley,عاليه,LB31,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Baabda,بعبدا,LB32,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Chouf, الشوف,LB33,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Jbeil,جبيل,LB34,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Kesrwane, كسروان,LB35,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Meten,المتن,LB36,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Bent Jbeil,بنت جبيل,LB41,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Hasbaya,حاصبيا,LB42,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Marjaayoun,مرجعيون,LB43,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Nabatieh,النبطية,LB44,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Akkar,عكار,LB51,,,,,,Akkar,عكار,LB7,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Batroun,البترون,LB52,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Bcharre, بشري,LB53,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Koura,الكورة,LB54,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
El Minieh-Dennie,المنية الضنية,LB55,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Tripoli,طرابلس,LB56,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Zgharta,زغرتا,LB57,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Saida,صيدا,LB61,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Jezzine,جزين,LB62,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
Sour,صور,LB63,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
