admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo,k
Analamanga,MG11,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Vakinankaratra,MG12,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Itasy,MG13,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Bongolava,MG14,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Haute Matsiatra,MG21,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Amoron I Mania,MG22,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Vatovavy Fitovinany,MG23,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Ihorombe,MG24,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Atsimo Atsinanana,MG25,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Atsinanana,MG31,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Analanjirofo,MG32,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Alaotra Mangoro,MG33,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Boeny,MG41,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Sofia,MG42,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Betsiboka,MG43,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Melaky,MG44,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Atsimo Andrefana,MG51,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Androy,MG52,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Anosy,MG53,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Menabe,MG54,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Diana,MG71,,,,Madagascar,MG,2010-12-31,2020-02-20,,
Sava,MG72,,,,Madagascar,MG,2010-12-31,2020-02-20,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
