admin1Name_es,admin1Pcode,admin1RefName,admin1AltName1_es,admin1AltName2_es,admin0Name_es,admin0Pcode,date,validOn,validTo
Aguascalientes,MX01,,,,México,MX,2018-02-02,2020-06-18,
Baja California,MX02,,,,México,MX,2018-02-02,2020-06-18,
Baja California Sur,MX03,,,,México,MX,2018-02-02,2020-06-18,
Campeche,MX04,,,,México,MX,2018-02-02,2020-06-18,
Chiapas,MX07,,,,México,MX,2018-02-02,2020-06-18,
Chihuahua,MX08,,,,México,MX,2018-02-02,2020-06-18,
Coahuila de Zaragoza,MX05,,,,México,MX,2018-02-02,2020-06-18,
Colima,MX06,,,,México,MX,2018-02-02,2020-06-18,
Distrito Federal,MX09,,,,México,MX,2018-02-02,2020-06-18,
Durango,MX10,,,,México,MX,2018-02-02,2020-06-18,
Guanajuato,MX11,,,,México,MX,2018-02-02,2020-06-18,
Guerrero,MX12,,,,México,MX,2018-02-02,2020-06-18,
Hidalgo,MX13,,,,México,MX,2018-02-02,2020-06-18,
Jalisco,MX14,,,,México,MX,2018-02-02,2020-06-18,
México,MX15,Mexico,,,México,MX,2018-02-02,2020-06-18,
Michoacán de Ocampo,MX16,Michoacan de Ocampo,,,México,MX,2018-02-02,2020-06-18,
Morelos,MX17,,,,México,MX,2018-02-02,2020-06-18,
Nayarit,MX18,,,,México,MX,2018-02-02,2020-06-18,
Nuevo León,MX19,Nuevo Leon,,,México,MX,2018-02-02,2020-06-18,
Oaxaca,MX20,,,,México,MX,2018-02-02,2020-06-18,
Puebla,MX21,,,,México,MX,2018-02-02,2020-06-18,
Querétaro de Arteaga,MX22,Queretaro de Arteaga,,,México,MX,2018-02-02,2020-06-18,
Quintana Roo,MX23,,,,México,MX,2018-02-02,2020-06-18,
San Luis Potosí,MX24,San Luis Potosi,,,México,MX,2018-02-02,2020-06-18,
Sinaloa,MX25,,,,México,MX,2018-02-02,2020-06-18,
Sonora,MX26,,,,México,MX,2018-02-02,2020-06-18,
Tabasco,MX27,,,,México,MX,2018-02-02,2020-06-18,
Tamaulipas,MX28,,,,México,MX,2018-02-02,2020-06-18,
Tlaxcala,MX29,,,,México,MX,2018-02-02,2020-06-18,
Veracruz de Ignacio de la Llave,MX30,,,,México,MX,2018-02-02,2020-06-18,
Yucatán,MX31,Yucatan,,,México,MX,2018-02-02,2020-06-18,
Zacatecas,MX32,,,,México,MX,2018-02-02,2020-06-18,
