admin4Name_en,admin4Name_mk,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin4AltName1_mk,admin4AltName2_mk,admin3Name_en,admin3Name_mk,admin3Pcode,admin2Name_en,admin2Name_mk,admin2Pcode,admin1Name_en,admin1Name_mk,admin1Pcode,admin0Name_en,admin0Name_mk,admin0Pcode,date,validOn,validTo
Veles,Велес,MK00101,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Gradsko,Градско,MK00102,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Demir Kapija,Демир Капија,MK00103,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Kavadartsi,Кавадарци,MK00104,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Lozovo,Лозово,MK00105,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Negotino,Неготино,MK00106,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Rosoman,Росоман,MK00107,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Sveti Nikole,Свети Николе,MK00108,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Chashka,Чашка,MK00109,,,,,,Vardar,Вардарски,MK001,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Berovo,Берово,MK00201,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
Vinitsa,Виница,MK00202,,,,,,East,Источен,MK002,North Macedonia,Република Северна Македонија,MK00,North Macedonia,Република Северна Македонија,MK0,North Macedonia,Република Северна Македонија,MK,2016-05-12,2016-07-08,
