admin1Name_pt,admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_pt,admin1AltName2_pt,admin1AltName1_en,admin1AltName2_en,admin0Name_pt,admin0Name_en,admin0Pcode,date,validOn,validTo
Cabo Delgado,,MZ01,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Gaza,,MZ02,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Inhambane,,MZ03,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Manica,,MZ04,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maputo,,MZ05,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Maputo City,,MZ06,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Nampula,,MZ07,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Niassa,,MZ08,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Sofala,,MZ09,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Tete,,MZ10,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
Zambezia,,MZ11,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
