admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Fort-de-France,MQ0101,Fort-de-France,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
Lamentin,MQ0102,Lamentin,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
Saint-Joseph,MQ0103,Saint-Joseph,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
Schœlcher,MQ0104,Schœlcher,,,Fort-de-France,MQ01,Martinique,MQ,2017-09-09,2020-02-17,
Anses-d'arlet,MQ0201,Les Anses-dArlet,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Diamant,MQ0202,Le Diamant,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Ducos,MQ0203,Ducos,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
François,MQ0204,Francois,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Marin,MQ0205,Marin,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Rivière-Pilote,MQ0206,Riviere-Pilote,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Rivière-Salée,MQ0207,Riviere-Salee,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Sainte-Anne,MQ0208,Sainte-Anne,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Sainte-Luce,MQ0209,Sainte-Luce,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Saint-Esprit,MQ0210,Saint-Esprit,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Trois-Îlets,MQ0211,Trois-Ilets,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Vauclin,MQ0212,Vauclin,,,Le Marin,MQ02,Martinique,MQ,2017-09-09,2020-02-17,
Bellefontaine,MQ0301,Bellefontaine,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Carbet,MQ0302,Carbet,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Case-Pilote,MQ0303,Case-Pilote,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Fonds-Saint-Denis,MQ0304,Fonds-Saint-Denis,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Morne-Rouge,MQ0305,Morne-Rouge,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Morne-Vert,MQ0306,Morne-Vert,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Prêcheur,MQ0307,Precheur,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Saint-Pierre,MQ0308,Saint-Pierre,,,Saint-Pierre,MQ03,Martinique,MQ,2017-09-09,2020-02-17,
Ajoupa-Bouillon,MQ0401,Ajoupa-Bouillon,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Basse-Pointe,MQ0402,Basse-Pointe,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Grand'Rivière,MQ0403,GrandRiviere,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Gros-Morne,MQ0404,Gros-Morne,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Lorrain,MQ0405,Lorrain,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Macouba,MQ0406,Macouba,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Marigot,MQ0407,Marigot,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Robert,MQ0408,Robert,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Sainte-Marie,MQ0409,Sainte-Marie,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
Trinité,MQ0410,Trinite,,,La Trinité,MQ04,Martinique,MQ,2017-09-09,2020-02-17,
