admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Chitipa,MW101,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Karonga,MW102,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Nkhata Bay,MW103,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Rumphi,MW104,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Mzimba,MW105,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Likoma,MW106,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Mzuzu City,MW107,,,,Northern,MW1,Malawi,MW,2018-10-22,2020-02-20,
Kasungu,MW201,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Nkhotakota,MW202,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Ntchisi,MW203,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Dowa,MW204,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Salima,MW205,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Lilongwe,MW206,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Mchinji,MW207,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Dedza,MW208,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Ntcheu,MW209,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Lilongwe City,MW210,,,,Central,MW2,Malawi,MW,2018-10-22,2020-02-20,
Mangochi,MW301,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Machinga,MW302,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Zomba,MW303,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Chiradzulu,MW304,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Blantyre,MW305,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Mwanza,MW306,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Thyolo,MW307,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Mulanje,MW308,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Phalombe,MW309,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Chikwawa,MW310,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Nsanje,MW311,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Balaka,MW312,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Neno,MW313,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Zomba City,MW314,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
Blantyre City,MW315,,,,Southern,MW3,Malawi,MW,2018-10-22,2020-02-20,
