admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Belgorod,RU001001,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Bryansk,RU001002,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Ivanovo,RU001003,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Kaluga,RU001004,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Kostroma,RU001005,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Kursk,RU001006,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Lipetsk,RU001007,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Moscow City,RU001008,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Moskva,RU001009,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Orel,RU001010,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Ryazan',RU001011,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Smolensk,RU001012,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Tambov,RU001013,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Tula,RU001014,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Tver',RU001015,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Vladimir,RU001016,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Voronezh,RU001017,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Yaroslavl',RU001018,,,,Central,RU001,Russian Federation,RU,2022-03-09,2022-03-22,
Amur,RU002001,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Chukot,RU002002,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Kamchatka,RU002003,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Khabarovsk,RU002004,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Maga Buryatdan,RU002005,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Primor'ye,RU002006,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
Sakha,RU002007,,,,Far Eastern,RU002,Russian Federation,RU,2022-03-09,2022-03-22,
