admin4Name_en,admin4Name_fr,admin4Name_rw,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin4AltName1_fr,admin4AltName2_fr,admin4AltName1_rw,admin4AltName2_rw,admin3Name_en,admin3Name_fr,admin3Name_rw,admin3Pcode,admin2Name_en,admin2Name_fr,admin2Name_rw,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Name_rw,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_rw,admin0Pcode,date,validOn,validTo
Akabahizi,,,RW110101,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Akabeza,,,RW110102,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gacyamo,,,RW110103,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kigarama,,,RW110104,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kinyange,,,RW110105,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kora,,,RW110106,,,,,,,,Gitega,,,RW1101,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyamweru,,,RW110201,,,,,,,,Kanyinya,,,RW1102,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nzove,,,RW110202,,,,,,,,Kanyinya,,,RW1102,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Taba,,,RW110203,,,,,,,,Kanyinya,,,RW1102,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kigali,,,RW110301,,,,,,,,Kigali,,,RW1103,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Mwendo,,,RW110302,,,,,,,,Kigali,,,RW1103,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyabugogo,,,RW110303,,,,,,,,Kigali,,,RW1103,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ruriba,,,RW110304,,,,,,,,Kigali,,,RW1103,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rwesero,,,RW110305,,,,,,,,Kigali,,,RW1103,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kamuhoza,,,RW110401,,,,,,,,Kimisagara,,,RW1104,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Katabaro,,,RW110402,,,,,,,,Kimisagara,,,RW1104,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kimisagara,,,RW110403,,,,,,,,Kimisagara,,,RW1104,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kankuba,,,RW110501,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kavumu,,,RW110502,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Mataba,,,RW110503,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ntungamo,,,RW110504,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyarufunzo,,,RW110505,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyarurenzi,,,RW110506,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Runzenze,,,RW110507,,,,,,,,Mageregere,,,RW1105,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Amahoro,,,RW110601,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kabasengerezi,,,RW110602,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kabeza,,,RW110603,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyabugogo,,,RW110604,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rugenge,,,RW110605,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Tetero,,,RW110606,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ubumwe,,,RW110607,,,,,,,,Muhima,,,RW1106,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Munanira i,,,RW110701,,,,,,,,Nyakabanda,,,RW1107,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Munanira ii,,,RW110702,,,,,,,,Nyakabanda,,,RW1107,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyakabanda i,,,RW110703,,,,,,,,Nyakabanda,,,RW1107,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyakabanda ii,,,RW110704,,,,,,,,Nyakabanda,,,RW1107,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Cyivugiza,,,RW110801,,,,,,,,Nyamirambo,,,RW1108,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gasharu,,,RW110802,,,,,,,,Nyamirambo,,,RW1108,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Mumena,,,RW110803,,,,,,,,Nyamirambo,,,RW1108,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rugarama,,,RW110804,,,,,,,,Nyamirambo,,,RW1108,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Agatare,,,RW110901,,,,,,,,Nyarugenge,,,RW1109,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Biryogo,,,RW110902,,,,,,,,Nyarugenge,,,RW1109,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kiyovu,,,RW110903,,,,,,,,Nyarugenge,,,RW1109,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rwampara,,,RW110904,,,,,,,,Nyarugenge,,,RW1109,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kabuguru i,,,RW111001,,,,,,,,Rwezamenyo,,,RW1110,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kabuguru ii,,,RW111002,,,,,,,,Rwezamenyo,,,RW1110,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rwezamenyo i,,,RW111003,,,,,,,,Rwezamenyo,,,RW1110,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Rwezamenyo ii,,,RW111004,,,,,,,,Rwezamenyo,,,RW1110,Nyarugenge,,,RW11,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kinyaga,,,RW120101,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Musave,,,RW120102,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Mvuzo,,,RW120103,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Ngara,,,RW120104,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nkuzuzu,,,RW120105,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyabikenke,,,RW120106,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyagasozi,,,RW120107,,,,,,,,Bumbogo,,,RW1201,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Karuruma,,,RW120201,,,,,,,,Gatsata,,,RW1202,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyamabuye,,,RW120202,,,,,,,,Gatsata,,,RW1202,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Nyamugari,,,RW120203,,,,,,,,Gatsata,,,RW1202,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gasagara,,,RW120301,,,,,,,,Gikomero,,,RW1203,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Gicaca,,,RW120302,,,,,,,,Gikomero,,,RW1203,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
Kibara,,,RW120303,,,,,,,,Gikomero,,,RW1203,Gasabo,,,RW12,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2020-02-20,
