admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Dea,SL010101,Dea,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jawie,SL010102,Jawie,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kissi Kama,SL010103,Kissi Kama,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kissi Teng,SL010104,Kissi Teng,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kissi Tongi,SL010105,Kissi Tongi,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpeje Bongre,SL010106,Kpeje Bongre,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpeje West,SL010107,Kpeje West,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Luawa,SL010108,Luawa,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Malema,SL010109,Malema,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mandu,SL010110,Mandu,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njaluahun,SL010111,Njaluahun,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Penguia,SL010112,Penguia,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Upper Bambara,SL010113,Upper Bambara,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yawei,SL010114,Yawei,,,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dama,SL010201,Dama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dodo,SL010202,Dodo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gaura,SL010203,Gaura,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gorama Mende,SL010204,Gorama Mende,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kandu Leppiama,SL010205,Kandu Leppiama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Koya,SL010206,Koya,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Langrama,SL010207,Langrama,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lower Bambara,SL010208,Lower Bambara,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Malegohun,SL010209,Malegohun,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Niawa,SL010210,Niawa,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nomo,SL010211,Nomo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nongowa,SL010212,Nongowa,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Simbaru,SL010213,Simbaru,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Small Bo,SL010214,Small Bo,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tunkia,SL010215,Tunkia,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Wandor,SL010216,Wandor,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kenema Town,SL010291,Kenema Town,,,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fiama,SL010301,Fiama,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane,SL010302,Gbane,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane Kandor,SL010303,Gbane Kandor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbense,SL010304,Gbense,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gorama Kono,SL010305,Gorama Kono,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamara,SL010306,Kamara,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lei,SL010307,Lei,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mafindor,SL010308,Mafindor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nimikoro,SL010309,Nimikoro,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Nimiyama,SL010310,Nimiyama,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sandor,SL010311,Sandor,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Soa,SL010312,Soa,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro,SL010313,Tankoro,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Toli,SL010314,Toli,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Koidu Town,SL010391,Koidu Town,,,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Biriwa,SL020101,Biriwa,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Bombali Sebora,SL020102,Bombali Sebora,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbanti Kamarank,SL020103,Gbanti Kamarank,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbendembu Ngowa,SL020104,Gbendembu Ngowa,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Libeisaygahun,SL020105,Libeisaygahun,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Magbaimba Ndorhahun,SL020106,Magbaimba Ndorh,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makari Gbanti,SL020107,Makari Gbanti,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Paki Masabong,SL020108,Paki Masabong,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Safroko Limba,SL020109,Safroko Limba,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sanda Loko,SL020110,Sanda Loko,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sanda Tendaran,SL020111,Sanda Tendaran,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sella Limba,SL020112,Sella Limba,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tambakha,SL020113,Tambakha,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makeni Town,SL020191,Makeni Town,,,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Bramaia,SL020201,Bramaia,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbinle Dixing,SL020202,Gbinle Dixing,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Magbema,SL020203,Magbema,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mambolo,SL020204,Mambolo,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Masungbala,SL020205,Masungbala,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Samu,SL020206,Samu,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tonko Limba,SL020207,Tonko Limba,,,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Dembelia - Sink,SL020301,Dembelia - Sink,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Diang,SL020302,Diang,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Folosaba Dembel,SL020303,Folosaba Dembel,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kasunko,SL020304,Kasunko,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mongo,SL020305,Mongo,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Neya,SL020306,Neya,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Nieni,SL020307,Nieni,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sengbe,SL020308,Sengbe,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sulima,SL020309,Sulima,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Wara Wara Bafod,SL020310,Wara Wara Bafod,,,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
