admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
Ahuachapán,SV0101,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Apaneca,SV0102,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Atiquizaya,SV0103,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Concepción de Ataco,SV0104,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
El Refugio,SV0105,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Guaymango,SV0106,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Jujutla,SV0107,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Menéndez,SV0108,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
San Lorenzo,SV0109,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
San Pedro Puxtla,SV0110,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Tacuba,SV0111,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Turín,SV0112,,,,Ahuachapán,SV01,El Salvador,SV,2020-05-29,2021-02-08,
Cinquera,SV0201,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Guacotecti,SV0202,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Ilobasco,SV0203,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Jutiapa,SV0204,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
San Isidro,SV0205,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Sensuntepeque,SV0206,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Tejutepeque,SV0207,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Victoria,SV0208,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Dolores,SV0209,,,,Cabañas,SV02,El Salvador,SV,2020-05-29,2021-02-08,
Agua Caliente,SV0301,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Arcatao,SV0302,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Azacualpa,SV0303,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Citalá,SV0304,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Comalapa,SV0305,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Concepción Quezaltepeque,SV0306,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Chalatenango,SV0307,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Dulce Nombre de María,SV0308,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
El Carrizal,SV0309,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
El Paraíso,SV0310,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
La Laguna,SV0311,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
La Palma,SV0312,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
La Reina,SV0313,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Las Vueltas,SV0314,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Nombre de Jesús,SV0315,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Nueva Concepción,SV0316,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Nueva Trinidad,SV0317,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Ojos de Agua,SV0318,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Potonico,SV0319,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Antonio de la Cruz,SV0320,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Antonio Los Ranchos,SV0321,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Fernando,SV0322,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Lempa,SV0323,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Morazán,SV0324,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Ignacio,SV0325,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Isidro Labrador,SV0326,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San José Cancasque,SV0327,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San José Las Flores,SV0328,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Luis del Carmen,SV0329,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Miguel de Mercedes,SV0330,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
San Rafael,SV0331,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Santa Rita,SV0332,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Tejutla,SV0333,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Embalse Cerron Grande,SV0399,,,,Chalatenango,SV03,El Salvador,SV,2020-05-29,2021-02-08,
Candelaria,SV0401,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Cojutepeque,SV0402,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
El Carmen,SV0403,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
El Rosario,SV0404,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Monte San Juan,SV0405,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Oratorio de Concepción,SV0406,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San Bartolomé Perulapía,SV0407,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San Cristóbal,SV0408,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San José Guayabal,SV0409,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San Pedro Perulapán,SV0410,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San Rafael Cedros,SV0411,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
San Ramón,SV0412,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Santa Cruz Analquito,SV0413,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Santa Cruz Michapa,SV0414,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Suchitoto,SV0415,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Tenancingo,SV0416,,,,Cuscatlán,SV04,El Salvador,SV,2020-05-29,2021-02-08,
Antiguo Cuscatlán,SV0501,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Chiltiupán,SV0502,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Ciudad Arce,SV0503,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Colón,SV0504,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Comasagua,SV0505,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Huizúcar,SV0506,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Jayaque,SV0507,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
Jicalapa,SV0508,,,,La Libertad,SV05,El Salvador,SV,2020-05-29,2021-02-08,
