admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Awdal,SO11,Awdal,,,Somalia,SO,2014-06-06,2017-04-05,
Woqooyi Galbeed,SO12,Woqooyi Galbeed,West Galbeed,,Somalia,SO,2014-06-06,2017-04-05,
Togdheer,SO13,Togdheer,Tog-dheer,,Somalia,SO,2014-06-06,2017-04-05,
Sool,SO14,Sool,,,Somalia,SO,2014-06-06,2017-04-05,
Sanaag,SO15,Sanaag,Sanag,,Somalia,SO,2014-06-06,2017-04-05,
Bari,SO16,Bari,,,Somalia,SO,2014-06-06,2017-04-05,
Nugaal,SO17,Nugaal,Nugal,,Somalia,SO,2014-06-06,2017-04-05,
Mudug,SO18,Mudug,,,Somalia,SO,2014-06-06,2017-04-05,
Galgaduud,SO19,Galgaduud,Galgadud,,Somalia,SO,2014-06-06,2017-04-05,
Hiraan,SO20,Hiraan,Hiiraan,,Somalia,SO,2014-06-06,2017-04-05,
Middle Shabelle,SO21,Middle Shabelle,Shabeellaha Dhexe,,Somalia,SO,2014-06-06,2017-04-05,
Banadir,SO22,Banadir,Banaadir,,Somalia,SO,2014-06-06,2017-04-05,
Lower Shabelle,SO23,Lower Shabelle,Shabeellaha Hoose,,Somalia,SO,2014-06-06,2017-04-05,
Bay,SO24,Bay,,,Somalia,SO,2014-06-06,2017-04-05,
Bakool,SO25,Bakool,,,Somalia,SO,2014-06-06,2017-04-05,
Gedo,SO26,Gedo,,,Somalia,SO,2014-06-06,2017-04-05,
Middle Juba,SO27,Middle Juba,Jubbada Dhexe,,Somalia,SO,2014-06-06,2017-04-05,
Lower Juba,SO28,Lower Juba,Jubbada Hoose,,Somalia,SO,2014-06-06,2017-04-05,
