admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Bungu,SS010101,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Dolo,SS010102,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Ganji,SS010103,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Gondokoro,SS010104,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Juba Town,SS010105,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kator,SS010106,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lirya,SS010107,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lobonok,SS010108,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lokiliri,SS010109,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Mangala North,SS010110,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Mangala South,SS010111,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Munuki,SS010112,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Northern Bari,SS010113,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Rejaf,SS010114,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Rokon,SS010115,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Tijor,SS010116,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Wonduruba,SS010117,,,,Juba,SS0101,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kangapo I,SS010201,,,,Kajo-keji,SS0102,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kangapo II,SS010202,,,,Kajo-keji,SS0102,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lire,SS010203,,,,Kajo-keji,SS0102,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Liwolo,SS010204,,,,Kajo-keji,SS0102,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Nyepo,SS010205,,,,Kajo-keji,SS0102,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kenyi,SS010301,,,,Lainya,SS0103,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kupera,SS010302,,,,Lainya,SS0103,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lainya,SS010303,,,,Lainya,SS0103,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Mukaya,SS010304,,,,Lainya,SS0103,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Wuji,SS010305,,,,Lainya,SS0103,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Gulumbi,SS010401,,,,Morobo,SS0104,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kimba,SS010402,,,,Morobo,SS0104,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lujulo,SS010403,,,,Morobo,SS0104,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Panyume,SS010404,,,,Morobo,SS0104,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Wudabi,SS010405,,,,Morobo,SS0104,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Gameiza,SS010501,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Muni,SS010502,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Nyori,SS010503,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Reggo,SS010504,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Rijong,SS010505,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Tali,SS010506,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Terekeka,SS010507,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Tindilo,SS010508,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Tombek,SS010509,,,,Terekeka,SS0105,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Lasu,SS010601,,,,Yei,SS0106,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Mugwo,SS010602,,,,Yei,SS0106,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Otogo,SS010603,,,,Yei,SS0106,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Tore,SS010604,,,,Yei,SS0106,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Yei,SS010605,,,,Yei,SS0106,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2021-09-27,
Kimotong,SS020101,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Komori,SS020102,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Loriyok,SS020103,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Lotukei,SS020104,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Loudo,SS020105,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Nagishot,SS020106,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Napak,SS020107,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Nauro,SS020108,,,,Budi,SS0201,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Hatire,SS020201,,,,Ikotos,SS0202,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
Ikotos,SS020202,,,,Ikotos,SS0202,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2021-09-27,
