admin1Name_nl,admin1Pcode,admin1RefName,admin1AltName1_nl,admin1AltName2_nl,admin0Name_nl,admin0Pcode,date,validOn,validTo
Brokopondo,SR01,,,,Suriname,SR,2019-10-24,2019-10-24,
Commewijne,SR02,,,,Suriname,SR,2019-10-24,2019-10-24,
Coronie,SR03,,,,Suriname,SR,2019-10-24,2019-10-24,
Marowijne,SR04,,,,Suriname,SR,2019-10-24,2019-10-24,
Nickerie,SR05,,,,Suriname,SR,2019-10-24,2019-10-24,
Para,SR06,,,,Suriname,SR,2019-10-24,2019-10-24,
Paramaribo,SR07,,,,Suriname,SR,2019-10-24,2019-10-24,
Saramacca,SR08,,,,Suriname,SR,2019-10-24,2019-10-24,
Sipaliwini,SR09,,,,Suriname,SR,2019-10-24,2019-10-24,
Wanica,SR10,,,,Suriname,SR,2019-10-24,2019-10-24,
