admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Timphisini,SZ101,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Ntfonjeni,SZ102,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Mayiwane,SZ103,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Mhlangatane,SZ104,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Ndzingeni,SZ105,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Madlangempisi,SZ106,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Maphalaleni,SZ107,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Pigg's Peak,SZ108,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Nkhaba,SZ109,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Motjane,SZ110,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Mbabane West,SZ111,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Mbabane East,SZ112,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Hhukwini,SZ113,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Lobamba,SZ114,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-29,
Mkhiweni,SZ215,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Kukhanyeni,SZ216,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Mafutseni,SZ217,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Mthongwaneni,SZ218,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Manzini North,SZ219,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Manzini South,SZ220,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Kwaluseni,SZ221,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Ludzeludze,SZ222,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Lobamba Lomdzala,SZ223,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Nhlambeni,SZ224,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Ntondozi,SZ225,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
La-Mgabhi,SZ226,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Mhlambanyatsi,SZ227,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Mangcongco,SZ228,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Ngwempisi,SZ229,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Mahlangatsha,SZ230,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-29,
Kubuta,SZ331,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Nkwene,SZ332,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Mtsambama,SZ333,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Gege,SZ334,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Mbangweni,SZ335,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Maseyisini,SZ336,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Sandleni,SZ337,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Ngudzeni,SZ338,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Zombodze,SZ339,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Shiselweni,SZ340,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Hosea,SZ341,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Sigwe,SZ342,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Matsanjeni South,SZ343,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Somntongo,SZ344,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-29,
Lubuli,SZ445,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Sithobela,SZ446,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Nkilongo,SZ447,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Siphofaneni,SZ448,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Mpolonjeni,SZ449,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Matsanjeni North,SZ450,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Lugongolweni,SZ451,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Dvokodvweni,SZ452,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Hlane,SZ453,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Mhlume,SZ454,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
Lomahasha,SZ455,,,,Lubombo,SZ4,Eswatini,SZ,2020-05-13,2021-01-29,
