admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
Batha Ouest,TD0101,Batha Ouest,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
Batha Est,TD0102,Batha Est,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
Fitri,TD0103,Fitri,,,Batha,TD01,Tchad,TD,2016-07-01,2021-09-24,
Borkou,TD0201,Borkou,,,Borkou,TD02,Tchad,TD,2016-07-01,2021-09-24,
Borkou Yala,TD0202,Borkou Yala,,,Borkou,TD02,Tchad,TD,2016-07-01,2021-09-24,
Baguirmi,TD0301,Baguirmi,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
Chari,TD0302,Chari,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
Loug-Chari,TD0303,Loug-Chari,,,Chari-Baguirmi,TD03,Tchad,TD,2016-07-01,2021-09-24,
Guéra,TD0401,Guera,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
Abtouyour,TD0402,Abtouyour,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
Barh-Signaka,TD0403,Barh-Signaka,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
Mangalmé,TD0404,Mangalme,,,Guéra,TD04,Tchad,TD,2016-07-01,2021-09-24,
Dagana,TD0501,Dagana,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
Dababa,TD0502,Dababa,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
Haraze-Al-Biar,TD0503,Haraze-Al-Biar,,,Hadjer-Lamis,TD05,Tchad,TD,2016-07-01,2021-09-24,
Kanem,TD0601,Kanem,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
Nord Kanem,TD0602,Nord Kanem,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
Wadi Bissam,TD0603,Wadi-Bissam,,,Kanem,TD06,Tchad,TD,2016-07-01,2021-09-24,
Mamdi,TD0701,Mamdi,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
Wayi,TD0702,Wayi,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
Kaya,TD0703,Kaya,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
Fouli,TD0704,Fouli,,,Lac,TD07,Tchad,TD,2016-07-01,2021-09-24,
Lac Wey,TD0801,Lac Wey,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
Dodjé,TD0802,Dodje,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
Guéni,TD0803,Gueni,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
Ngourkosso,TD0804,Ngourkosso,,,Logone Occidental,TD08,Tchad,TD,2016-07-01,2021-09-24,
La Pendé,TD0901,La Pende,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
Kouh Est,TD0902,Kouh Est,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
Kouh Ouest,TD0903,Kouh Ouest,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
La Nya,TD0904,La Nya,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
La Nya Pendé,TD0905,La Nya Pende,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
Monts de Lam,TD0906,Monts de Lam,,,Logone Oriental,TD09,Tchad,TD,2016-07-01,2021-09-24,
Mandoul Oriental,TD1001,Mandoul Oriental,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
Barh-Sara,TD1002,Barh-Sara,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
Mandoul Occidental,TD1003,Mandoul Occidental,,,Mandoul,TD10,Tchad,TD,2016-07-01,2021-09-24,
Mayo-Boneye,TD1101,Mayo-Boneye,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
Kabbia,TD1102,Kabbia,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
Mayo-Lemié,TD1103,Mayo-Lemie,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
Mont Illi,TD1104,Mont Illi,,,Mayo-Kebbi Est,TD11,Tchad,TD,2016-07-01,2021-09-24,
Mayo-Dallah,TD1201,Mayo-Dallah,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
Lac Léré,TD1202,Lac Lere,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
Mayo-Binder,TD1203,Mayo-Binder,,,Mayo-Kebbi Ouest,TD12,Tchad,TD,2016-07-01,2021-09-24,
Bahr-Köh,TD1301,Bahr-Koh,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
Grande Sido,TD1302,Grande Sido,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
Lac Iro,TD1303,Lac Iro,,,Moyen-Chari,TD13,Tchad,TD,2016-07-01,2021-09-24,
Ouara,TD1401,Ouara,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
Abdi,TD1402,Abdi,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
Assoungha,TD1403,Assoungha,,,Ouaddaï,TD14,Tchad,TD,2016-07-01,2021-09-24,
Bahr-Azoum,TD1501,Bahr-Azoum,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
Aboudéia,TD1502,Aboudeia,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
Haraze-Mangueigne,TD1503,Haraze-Mangueigne,,,Salamat,TD15,Tchad,TD,2016-07-01,2021-09-24,
Tandjilé Est,TD1601,Tandjile Est,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
Tandjile Ouest,TD1602,Tandjile Ouest,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
Tandjilé Centre,TD1603,Tandjile Centre,,,Tandjilé,TD16,Tchad,TD,2016-07-01,2021-09-24,
Biltine,TD1701,Biltine,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
Dar-Tama,TD1702,Dar-Tama,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
Kobé,TD1703,Kobe,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
Mégri,TD1704,Megri,,,Wadi Fira,TD17,Tchad,TD,2016-07-01,2021-09-24,
N'Djaména,TD1801,NDjamena,,,N'Djamena,TD18,Tchad,TD,2016-07-01,2021-09-24,
Barh-El-Gazel Sud,TD1901,Barh-El-Gazel Sud,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
Barh-El-Gazel Nord,TD1902,Barh-El-Gazel Nord,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
Barh-El-Gazel Ouest,TD1903,Barh-El-Gazel Ouest,,,Barh-El-Gazel,TD19,Tchad,TD,2016-07-01,2021-09-24,
Am-Djarass,TD2001,Am-Djarass,,,Ennedi Est,TD20,Tchad,TD,2016-07-01,2021-09-24,
Wadi Hawar,TD2002,Wadi Hawar,,,Ennedi Est,TD20,Tchad,TD,2016-07-01,2021-09-24,
Kimiti,TD2101,Kimiti,,,Sila,TD21,Tchad,TD,2016-07-01,2021-09-24,
Djourf Al Ahmar,TD2102,Djourf Al Ahmar,,,Sila,TD21,Tchad,TD,2016-07-01,2021-09-24,
Tibesti Est,TD2201,Tibesti Est,,,Tibesti,TD22,Tchad,TD,2016-07-01,2021-09-24,
Tibesti Ouest,TD2202,Tibesti Ouest,,,Tibesti,TD22,Tchad,TD,2016-07-01,2021-09-24,
Fada,TD2301,Fada,,,Ennedi Ouest,TD23,Tchad,TD,2016-07-01,2021-09-24,
Mourtcha,TD2303,Mourtcha,,,Ennedi Ouest,TD23,Tchad,TD,2016-07-01,2021-09-24,
