admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Abafala,TL030315,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Abani,TL120401,,,,Passabe,TL1204,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Abat Oan,TL110503,,,,Barique/Natarbora,TL1105,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Abo,TL030308,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Acadiru Hun,TL060202,,,,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Acubilitoho,TL020202,,,,Liquidoe,TL0202,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Açumano,TL080206,Acumano,,,Liquiçá,TL0802,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Acumau,TL020301,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Afabubu,TL090401,,,,Luro,TL0904,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Afaca,TL030310,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Afaloicai,TL030401,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Afaloicai,TL130104,,,,Uatucarbau,TL1301,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Afaloicai,TL130306,,,,Uato-Lari,TL1303,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Ahic,TL130503,,,,Lacluta,TL1305,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Ai-Assa,TL040601,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Aidabaleten,TL040401,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Ailebere,TL090301,,,,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Ailelo,TL070504,,,,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Ailili,TL110106,,,,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Ainaro,TL010101,,,,Ainaro,TL0101,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Aisirimou,TL020101,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Aiteas,TL110102,,,,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
