admin1Name_en,admin1Name_tr,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_tr,admin1AltName2_tr,admin0Name_en,admin0Name_tr,admin0Pcode,date,validOn,validTo
Adana,Adana,TR001,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Adiyaman,Adiyaman,TR002,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Afyonkarahisar,Afyonkarahisar,TR003,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Agri,Ağri,TR004,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Amasya,Amasya,TR005,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Ankara,Ankara,TR006,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Antalya,Antalya,TR007,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Artvin,Artvin,TR008,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Aydin,Aydin,TR009,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Balikesir,Balikesir,TR010,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bilecik,Bilecik,TR011,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bingol,Bingöl,TR012,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bitlis,Bitlis,TR013,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bolu,Bolu,TR014,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Burdur,Burdur,TR015,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Bursa,Bursa,TR016,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Canakkale,Çanakkale,TR017,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Cankiri,Çankiri,TR018,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Corum,Çorum,TR019,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Denizli,Denizli,TR020,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Diyarbakir,Diyarbakir,TR021,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Edirne,Edirne,TR022,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Elazig,Elaziğ,TR023,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Erzincan,Erzincan,TR024,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Erzurum,Erzurum,TR025,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Eskisehir,Eskişehir,TR026,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gaziantep,Gaziantep,TR027,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Giresun,Giresun,TR028,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Gumushane,Gümüşhane,TR029,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hakkari,Hakkari,TR030,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Hatay,Hatay,TR031,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Isparta,Isparta,TR032,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Mersin,Mersin,TR033,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Istanbul,Istanbul,TR034,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Izmir,Izmir,TR035,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kars,Kars,TR036,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kastamonu,Kastamonu,TR037,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kayseri,Kayseri,TR038,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kirklareli,Kirklareli,TR039,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kirsehir,Kirşehir,TR040,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Kocaeli,Kocaeli,TR041,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
Konya,Konya,TR042,,,,,,Turkey,Türkiye,TR,2020-01-01,2020-03-26,
