admin1Name_en,admin1Name_vi,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin1AltName1_vi,admin1AltName2_vi,admin0Name_en,admin0Name_vi,admin0Pcode,date,validOn,validTo
Ha Noi,TP. Hà Nội,VN101,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Hai Phong city,TP. Hải Phòng,VN103,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Vinh Phuc,Vĩnh Phúc,VN104,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Bac Ninh,Bắc Ninh,VN106,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Hai Duong,Hải Dương,VN107,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Hung Yen,Hưng Yên,VN109,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ha Nam,Hà Nam,VN111,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Nam Dinh,Nam Định,VN113,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Thai Binh,Thái Bình,VN115,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ninh Binh,Ninh Bình,VN117,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ha Giang,Hà Giang,VN201,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Cao Bang,Cao Bằng,VN203,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Lao Cai,Lào Cai,VN205,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Bac Kan,Bắc Kạn,VN207,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Lang Son,Lạng Sơn,VN209,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Tuyen Quang,Tuyên Quang,VN211,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Yen Bai,Yên Bái,VN213,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Thai Nguyen,Thái Nguyên,VN215,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Phu Tho,Phú Thọ,VN217,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Bac Giang,Bắc Giang,VN221,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Quang Ninh,Quảng Ninh,VN225,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Lai Chau,Lai Châu,VN301,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Dien Bien,Điện Biên,VN302,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Son La,Sơn La,VN303,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Hoa Binh,Hòa Bình,VN305,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Thanh Hoa,Thanh Hóa,VN401,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Nghe An,Nghệ An,VN403,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ha Tinh,Hà Tĩnh,VN405,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Quang Binh,Quảng Bình,VN407,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Quang Tri,Quảng Trị,VN409,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Thua Thien Hue,Thừa Thiên Huế,VN411,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Da Nang city,TP. Đà Nẵng,VN501,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Quang Nam,Quảng Nam,VN503,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Quang Ngai,Quảng Ngãi,VN505,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Binh Dinh,Bình Định,VN507,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Phu Yen,Phú Yên,VN509,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Khanh Hoa,Khánh Hòa,VN511,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Kon Tum,Kon Tum,VN601,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Gia Lai,Gia Lai,VN603,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Dak Lak,Đăk Lắk,VN605,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Dak Nong,Đăk Nông,VN606,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Lam Dong,Lâm Đồng,VN607,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ho Chi Minh city,TP. Hồ Chí Minh,VN701,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Ninh Thuan,Ninh Thuận,VN705,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
Binh Phuoc,Bình Phước,VN707,,,,,,Viet Nam,Việt Nam,VN,2019-10-01,2020-01-03,
