admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Bagerhat,BD4001,,,,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Bandarban,BD2003,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Barguna,BD1004,,,,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Barisal,BD1006,,,,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Bhola,BD1009,,,,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Bogra,BD5010,,,,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Brahamanbaria,BD2012,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chandpur,BD2013,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chittagong,BD2015,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Chuadanga,BD4018,,,,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Comilla,BD2019,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Cox's Bazar,BD2022,Coxs Bazar,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Dhaka,BD3026,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Dinajpur,BD5527,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Faridpur,BD3029,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Feni,BD2030,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Gaibandha,BD5532,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Gazipur,BD3033,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Gopalganj,BD3035,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Habiganj,BD6036,,,,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Jamalpur,BD4539,,,,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
