admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Bumthang,BT001,,,,Bhutan,BT,2019-02-01,2020-10-26,
Chhukha,BT002,,,,Bhutan,BT,2019-02-01,2020-10-26,
Dagana,BT003,,,,Bhutan,BT,2019-02-01,2020-10-26,
Gasa,BT004,,,,Bhutan,BT,2019-02-01,2020-10-26,
Haa,BT005,,,,Bhutan,BT,2019-02-01,2020-10-26,
Lhuentse,BT006,,,,Bhutan,BT,2019-02-01,2020-10-26,
Monggar,BT007,,,,Bhutan,BT,2019-02-01,2020-10-26,
Paro,BT008,,,,Bhutan,BT,2019-02-01,2020-10-26,
Pemagatshel,BT009,,,,Bhutan,BT,2019-02-01,2020-10-26,
Punakha,BT010,,,,Bhutan,BT,2019-02-01,2020-10-26,
Samdrupjongkhar,BT011,,,,Bhutan,BT,2019-02-01,2020-10-26,
Samtse,BT012,,,,Bhutan,BT,2019-02-01,2020-10-26,
Sarpang,BT013,,,,Bhutan,BT,2019-02-01,2020-10-26,
Thimphu,BT014,,,,Bhutan,BT,2019-02-01,2020-10-26,
Trashigang,BT015,,,,Bhutan,BT,2019-02-01,2020-10-26,
Trongsa,BT017,,,,Bhutan,BT,2019-02-01,2020-10-26,
Tsirang,BT018,,,,Bhutan,BT,2019-02-01,2020-10-26,
Wangduephodrang,BT019,,,,Bhutan,BT,2019-02-01,2020-10-26,
Yangtse,BT016,,,,Bhutan,BT,2019-02-01,2020-10-26,
Zhemgang,BT020,,,,Bhutan,BT,2019-02-01,2020-10-26,
