admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Aborlan,PH175301000,,,,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH,2016-06-30,2020-05-29,
Abra de Ilog,PH175101000,,,,Occidental Mindoro,PH175100000,Region IV-B,PH170000000,Philippines (the),PH,2016-06-30,2020-05-29,
Abucay,PH030801000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH,2016-06-30,2020-05-29,
Abulug,PH021501000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Abuyog,PH083701000,,,,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH,2016-06-30,2020-05-29,
Adams,PH012801000,,,,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agdangan,PH045601000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Aglipay,PH025701000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agno,PH015501000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agoncillo,PH041001000,,,,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agoo,PH013301000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Aguilar,PH015502000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,2016-06-30,2020-05-29,
Aguinaldo,PH142708000,,,,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2016-06-30,2020-05-29,
Agutaya,PH175302000,,,,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH,2016-06-30,2020-05-29,
Ajuy,PH063001000,,,,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH,2016-06-30,2020-05-29,
Akbar,PH150708000,,,,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2016-06-30,2020-05-29,
Al-Barka,PH150709000,,,,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2016-06-30,2020-05-29,
Alabat,PH045602000,,,,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH,2016-06-30,2020-05-29,
Alabel,PH128001000,,,,Sarangani,PH128000000,Region XII,PH120000000,Philippines (the),PH,2016-06-30,2020-05-29,
Alamada,PH124701000,,,,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH,2016-06-30,2020-05-29,
