admin1Name_en,admin1Pcode,admin1RefName,admin1AltName1_en,admin1AltName2_en,admin0Name_en,admin0Pcode,date,validOn,validTo
Western Province,PG01,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Gulf Province,PG02,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Central Province,PG03,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
National Capital District,PG04,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Milne Bay Province,PG05,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Northern (Oro) Province,PG06,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Southern Highlands Province,PG07,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Enga Province,PG08,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Western Highlands Province,PG09,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Chimbu (Simbu) Province,PG10,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Eastern Highlands Province,PG11,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Morobe Province,PG12,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Madang Province,PG13,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
East Sepik Province,PG14,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
West Sepik (Sandaun) Province,PG15,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Manus Province,PG16,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
New Ireland Province,PG17,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
East New Britain Province,PG18,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
West New Britain Province,PG19,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Autonomous Region of Bougainville,PG20,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Hela Province,PG21,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
Jiwaka Province,PG22,,,,Papua New Guinea,PG,2015-02-24,2019-05-08,
