admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Timphisini,SZ101,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Ntfonjeni,SZ102,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Mayiwane,SZ103,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Mhlangatane,SZ104,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Ndzingeni,SZ105,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Madlangempisi,SZ106,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Maphalaleni,SZ107,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Pigg's Peak,SZ108,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Nkhaba,SZ109,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Motjane,SZ110,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Mbabane West,SZ111,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Mbabane East,SZ112,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Hhukwini,SZ113,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Lobamba,SZ114,,,,Hhohho,SZ1,Eswatini,SZ,2020-05-13,2021-01-27,
Mkhiweni,SZ215,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Kukhanyeni,SZ216,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Mafutseni,SZ217,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Mthongwaneni,SZ218,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Manzini North,SZ219,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Manzini South,SZ220,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Kwaluseni,SZ221,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Ludzeludze,SZ222,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Lobamba Lomdzala,SZ223,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Nhlambeni,SZ224,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Ntondozi,SZ225,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
La-Mgabhi,SZ226,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Mhlambanyatsi,SZ227,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Mangcongco,SZ228,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Ngwempisi,SZ229,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Mahlangatsha,SZ230,,,,Manzini,SZ2,Eswatini,SZ,2020-05-13,2021-01-27,
Kubuta,SZ331,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
Nkwene,SZ332,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
Mtsambama,SZ333,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
Gege,SZ334,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
Mbangweni,SZ335,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
Maseyisini,SZ336,,,,Shiselweni,SZ3,Eswatini,SZ,2020-05-13,2021-01-27,
