admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Gaua,VU01053,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Vanua Lava,VU01054,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Torres,VU01055,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Motalava,VU01063,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Mota,VU01064,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Merelava,VU01065,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Ureparapara,VU01066,,,,Torba,VU01,Vanuatu,VU,2017-10-31,2018-08-24,
Luganville,VU02001,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
East Malo,VU02042,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
West Malo,VU02043,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
North West Santo,VU02044,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
South Santo,VU02045,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
South East Santo,VU02046,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
North Santo,VU02047,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
West Santo,VU02048,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
East Santo,VU02056,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
Canal - Fanafo,VU02061,,,,Sanma,VU02,Vanuatu,VU,2017-10-31,2018-08-24,
North Maewo,VU03014,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
South Maewo,VU03015,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
South Pentecost,VU03016,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
North Pentecost,VU03017,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
Central Pentecost 2,VU03018,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
South Ambae,VU03049,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
North Ambae,VU03050,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
East Ambae,VU03051,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
West Ambae,VU03052,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
Central Pentecost 1,VU03060,,,,Penama,VU03,Vanuatu,VU,2017-10-31,2018-08-24,
North West Malekula,VU04006,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
North East Malekula,VU04007,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
Central Malekula,VU04008,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
South East Malekula,VU04009,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
West Ambrym,VU04010,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
North Ambrym,VU04011,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
South East Ambrym,VU04012,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
Paama,VU04013,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
South Malekula,VU04058,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
South West Malekula,VU04059,,,,Malampa,VU04,Vanuatu,VU,2017-10-31,2018-08-24,
Port Vila,VU05002,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Eratap,VU05003,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
South Epi,VU05027,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Vermaul,VU05028,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Vermali,VU05029,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Varisu,VU05030,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
North Tongoa,VU05031,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Tongariki,VU05032,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Makimae,VU05033,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Emau,VU05034,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
North Efate,VU05035,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Nguna,VU05036,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Eton,VU05037,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Pango,VU05038,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Ifira,VU05039,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Erakor,VU05040,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Malorua,VU05041,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Mele,VU05057,,,,Shefa,VU05,Vanuatu,VU,2017-10-31,2018-08-24,
Futuna,VU06004,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
Aniwa,VU06005,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
North Erromango,VU06019,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
South Erromango,VU06020,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
Aneityum,VU06021,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
South Tanna,VU06022,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
South West Tanna,VU06023,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
Whitesands,VU06024,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
West Tanna,VU06025,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
North Tanna,VU06026,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
Middle Bush Tanna,VU06062,,,,Tafea,VU06,Vanuatu,VU,2017-10-31,2018-08-24,
