admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Abaqulusi,ZA5263,,,,Zululand,ZA526,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Alfred Duma,ZA5238,,,,Uthukela,ZA523,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Amahlathi,ZA2124,,,,Amathole,ZA212,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Ba-Phalaborwa,ZA9334,,,,Mopani,ZA933,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Beaufort West,ZA1053,,,,Central Karoo,ZA105,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Bela-Bela,ZA9366,,,,Waterberg,ZA936,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Bergrivier,ZA1013,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Big Five Hlabisa,ZA5276,,,,Umkhanyakude,ZA527,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Bitou,ZA1047,,,,Eden,ZA104,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Blouberg,ZA9351,,,,Capricorn,ZA935,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Blue Crane Route,ZA2102,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Breede Valley,ZA1025,,,,Cape Winelands,ZA102,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Buffalo City,ZA2920,,,,Buffalo City,ZA292,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
Bushbuckridge,ZA8325,,,,Ehlanzeni,ZA832,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Cape Agulhas,ZA1033,,,,Overberg,ZA103,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Cederberg,ZA1012,,,,West Coast,ZA101,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
Chief Albert Luthuli,ZA8301,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
City of Cape Town,ZA1910,,,,City of Cape Town,ZA191,Western Cape,ZA1,South Africa,ZA,2018-12-27,2020-11-09,
City of Johannesburg,ZA7980,,,,City of Johannesburg,ZA798,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
City of Matlosana,ZA6403,,,,Dr Kenneth Kaunda,ZA640,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
City of Tshwane,ZA7990,,,,City of Tshwane,ZA799,Gauteng,ZA7,South Africa,ZA,2018-12-27,2020-11-09,
Collins Chabane,ZA9345,,,,Vhembe,ZA934,Limpopo,ZA9,South Africa,ZA,2018-12-27,2020-11-09,
Dannhauser,ZA5254,,,,Amajuba,ZA525,KwaZulu-Natal,ZA5,South Africa,ZA,2018-12-27,2020-11-09,
Dawid Kruiper,ZA3087,,,,Z F Mgcawu,ZA308,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Dihlabeng,ZA4192,,,,Thabo Mofutsanyane,ZA419,Free State,ZA4,South Africa,ZA,2018-12-27,2020-11-09,
Dikgatlong,ZA3092,,,,Frances Baard,ZA309,Nothern Cape,ZA3,South Africa,ZA,2018-12-27,2020-11-09,
Dipaleseng,ZA8306,,,,Gert Sibande,ZA830,Mpumalanga,ZA8,South Africa,ZA,2018-12-27,2020-11-09,
Ditsobotla,ZA6384,,,,Ngaka Modiri Molema,ZA638,North West,ZA6,South Africa,ZA,2018-12-27,2020-11-09,
Dr Beyers Naude,ZA2101,,,,Cacadu,ZA210,Eastern Cape,ZA2,South Africa,ZA,2018-12-27,2020-11-09,
