admin2Name_en,admin2Name_da,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_da,admin2AltName2_da,admin1Name_en,admin1Name_da,admin1Pcode,admin0Name_en,admin0Name_da,admin0Pcode,date,validOn,validTo,regionName_en,regionName_da,regionCode
#adm2+name+i_en,#adm2+name+i_da,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_da,#adm2+name+i_da,#adm1+name+i_en,#adm1+name+i_da,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_da,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to,,,
Kabul,کابل,AF0101,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Paghman,پغمان,AF0102,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Chahar Asyab,چهار آسیاب,AF0103,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Bagrami,بگرامی,AF0104,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Deh Sabz,ده سبز,AF0105,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Shakar Dara,شکردره,AF0106,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Musahi,موسهی,AF0107,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Mir Bacha Kot,میر بچه کوت,AF0108,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Khak-e-Jabbar,خاک جبار,AF0109,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Kalakan,کلکان,AF0110,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Guldara,گلدره,AF0111,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Farza,فرزه,AF0112,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Estalef,استالف,AF0113,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Qara Bagh,قره باغ,AF0114,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Surobi,سروبی,AF0115,,,,,,Kabul,کابل,AF01,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
Mahmood-e-Raqi,محمود راقی,AF0201,,Centre,,,,Kapisa,کاپیسا,AF02,Afghanistan,افغانستان,AF,2017-08-23,2018-05-22,,Capital,مرکزی حوزه,CR
