#adm2+name+i_en,#adm2+name+i_hy,#adm2+name+i_ru,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_hy,#adm2+name+alt2+i_hy,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm1+name+i_en,#adm1+name+i_hy,#adm1+name+i_ru,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_hy,#country+name+i_ru,#country+code+v_iso2,#date+start,#date+updated,#date+end
Yerevan,Երևան,Ереван,AM011,,,,,,,,Yerevan,Երևան,Ереван,AM01,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ashtarak,Աշտարակ,Аштарак,AM021,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Aparan,Ապարան,Апаран,AM022,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Aragats,Արագած,Арагац,AM023,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Talin,Թալին,Талин,AM024,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Ararat,Արարատ,Арарат,AM031,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Artashat,Արտաշատ,Арташат,AM032,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Masis,Մասիս,Масис,AM033,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Armavir,Արմավիր,Армавир,AM041,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Baghramyan,Բաղրամյան,Баграмян,AM042,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Vagharshapat,Վաղարշապատ,Вагаршапат,AM043,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
Gavar,Գավառ,Гавар,AM051,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
