#adm2+name+i_fr,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fr,#adm2+name+alt2+i_fr,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Balé,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kossi,BF4603,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Mouhoun,BF4604,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Nayala,BF4605,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Sourou,BF4606,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Comoé,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Léraba,BF4702,Leraba,,,Cascades,BF47,Burkina Faso,BF,2020-03-26,2020-03-26,
Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Koulpélogo,BF4802,Koulpelogo,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Kourittenga,BF4803,,,,Centre-Est,BF48,Burkina Faso,BF,2020-03-26,2020-03-26,
Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Namentenga,BF4902,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Sanmatenga,BF4903,,,,Centre-Nord,BF49,Burkina Faso,BF,2020-03-26,2020-03-26,
Boulkiemdé,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Sanguié,BF5002,Sanguie,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Sissili,BF5003,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Ziro,BF5004,,,,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Bazèga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Nahouri,BF5102,,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Zoundwéogo,BF5103,Zoundweogo,,,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Komandjari,BF5203,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Kompienga,BF5204,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Tapoa,BF5205,,,,Est,BF52,Burkina Faso,BF,2020-03-26,2020-03-26,
Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
Kénédougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
Tuy,BF5303,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-26,2020-03-26,
Loroum,BF5401,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
Passoré,BF5402,Passore,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
Yatenga,BF5403,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
Zondoma,BF5404,,,,Nord,BF54,Burkina Faso,BF,2020-03-26,2020-03-26,
Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
Kourwéogo,BF5502,Kourweogo,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
Oubritenga,BF5503,,,,Plateau-Central,BF55,Burkina Faso,BF,2020-03-26,2020-03-26,
Oudalan,BF5601,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
Séno,BF5602,Seno,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
Soum,BF5603,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
Yagha,BF5604,,,,Sahel,BF56,Burkina Faso,BF,2020-03-26,2020-03-26,
Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
Noumbiel,BF5703,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
Poni,BF5704,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-26,2020-03-26,
