#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Komki-Ipala,BF130001,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Komsilga,BF130002,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Koubri,BF130003,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouagadougou,BF130004,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Pabré,BF130005,Pabre,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Saaba,BF130006,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Tanguen-Dassouri,BF130007,,,,Kadiogo,BF1300,Centre,BF13,Burkina Faso,BF,2020-03-26,2020-03-26,
Bagassi,BF460101,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Bana,BF460102,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Boromo,BF460103,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Fara,BF460104,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouri,BF460105,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Pâ,BF460106,Pa,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Pompoï,BF460107,Pompoi,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Poura,BF460108,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Siby,BF460109,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Yaho,BF460110,,,,Balé,BF4601,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Balavé,BF460201,Balave,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kouka,BF460202,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Sami,BF460203,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Sanaba,BF460204,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Solenzo,BF460205,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Tansila,BF460206,,,,Banwa,BF4602,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Barani,BF460301,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Bomborokui,BF460302,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Bourasso,BF460303,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Djibasso,BF460304,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Dokui,BF460305,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Doumbala,BF460306,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kombori,BF460307,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Madouba,BF460308,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Nouna,BF460309,,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Sônô,BF460311,Sono,,,Kossi,BF4603,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Bondokui,BF460401,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Dédougou,BF460402,Dedougou,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Douroula,BF460403,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kona,BF460404,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Ouarkoye,BF460405,,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Safané,BF460406,Safane,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Tchériba,BF460407,Tcheriba,,,Mouhoun,BF4604,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Gassan,BF460501,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Gossina,BF460502,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Kougny,BF460503,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
Toma,BF460504,,,,Nayala,BF4605,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020-03-26,2020-03-26,
