#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Devonshire,BM011,,,,Devonshire,BM01,Bermuda,BM,2017-09-21,2019-05-22,
Hamilton,BM021,,,,Hamilton,BM02,Bermuda,BM,2017-09-21,2019-05-22,
Paget,BM031,,,,Paget,BM03,Bermuda,BM,2017-09-21,2019-05-22,
Pembroke,BM041,,,,Pembroke,BM04,Bermuda,BM,2017-09-21,2019-05-22,
Hamilton Municipality,BM042,,,,Pembroke,BM04,Bermuda,BM,2017-09-21,2019-05-22,
Sandys,BM051,,,,Sandys,BM05,Bermuda,BM,2017-09-21,2019-05-22,
Smiths,BM061,,,,Smiths,BM06,Bermuda,BM,2017-09-21,2019-05-22,
Southampton,BM071,,,,Southampton,BM07,Bermuda,BM,2017-09-21,2019-05-22,
Saint George's,BM081,,,,Saint George's,BM08,Bermuda,BM,2017-09-21,2019-05-22,
Saint George municipality,BM082,,,,Saint George's,BM08,Bermuda,BM,2017-09-21,2019-05-22,
Warwick,BM091,,,,Warwick,BM09,Bermuda,BM,2017-09-21,2019-05-22,
