#adm2+name+i_es,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_es,#adm2+name+alt2+i_es,#adm1+name+i_es,#adm1+code+v_pcode,#country+name+i_es,#country+code+v_iso2,#date+start,#date+updated,#date+end
Oropeza,BO0101,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Azurduy,BO0102,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Zudáñez,BO0103,Zudanez,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Tomina,BO0104,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Hernando Siles,BO0105,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Yamparáez,BO0106,Yamparaez,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nor Cinti,BO0107,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Belisario Boeto,BO0108,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sur Cinti,BO0109,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Luis Calvo,BO0110,,,,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Murillo,BO0201,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Omasuyos,BO0202,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Pacajes,BO0203,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Camacho,BO0204,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Muñecas,BO0205,Munecas,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Larecaja,BO0206,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Franz Tamayo,BO0207,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Ingavi,BO0208,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Loayza,BO0209,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Inquisivi,BO0210,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sud Yungas,BO0211,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Los Andes,BO0212,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Aroma,BO0213,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Nor Yungas,BO0214,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Abel Iturralde,BO0215,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Bautista Saavedra,BO0216,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Manco Kapac,BO0217,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Gualberto Villarroel,BO0218,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
General José Manuel Pando,BO0219,General Jose Manuel Pando,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Caranavi,BO0220,,,,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cercado,BO0301,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Campero,BO0302,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Ayopaya,BO0303,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Esteban Arze,BO0304,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Arani,BO0305,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Arque,BO0306,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Capinota,BO0307,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Germán Jordán,BO0308,German Jordan,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Quillacollo,BO0309,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Chapare,BO0310,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Tapacarí,BO0311,Tapacari,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Carrasco,BO0312,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Mizque,BO0313,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Punata,BO0314,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Bolivar,BO0315,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Tiraque,BO0316,,,,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Cercado,BO0401,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Abaroa,BO0402,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Carangas,BO0403,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Sajama,BO0404,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Litoral,BO0405,,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Poopó,BO0406,Poopo,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
Pantaleón Dalence,BO0407,Pantaleon Dalence,,,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
