admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
#adm2+name+i_fr,#adm2+code+pcode,,#adm2+name+i_fr,#adm2+name+i_fr,#adm1+name+i_fr,#adm1+code+pcode,#adm0+name+i_fr,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bimbo,CF111,Bimbo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Damara,CF112,Damara,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Bogangolo,CF113,Bogangolo,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Boali,CF114,Boali,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Bossembélé,CF115,Bossembele,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Yaloké,CF116,Yaloke,,,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbaïki,CF121,Mbaiki,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2015-06-15,
Mongoumba,CF122,Mongoumba,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2015-06-15,
Boda,CF123,Boda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2015-06-15,
Boganangone,CF124,Boganangone,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2015-06-15,
Boganda,CF125,Boganda,,,Lobaye,CF12,République centrafricaine,CF,2014-08-02,2015-06-15,
Berbérati,CF211,Berberati,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Gamboula,CF212,Gamboula,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Carnot,CF213,Carnot,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Amada-Gaza,CF214,Amada-Gaza,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Sosso-Nakombo,CF215,Sosso-Nakombo,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Dédé-Mokouba,CF216,Dede-Mokouba,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Gadzi,CF217,Gadzi,,,Mambéré-Kadéï,CF21,République centrafricaine,CF,2014-08-02,2015-06-15,
Bouar,CF221,Bouar,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2015-06-15,
Baoro,CF222,Baoro,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2015-06-15,
Baboua,CF223,Baboua,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2015-06-15,
Abba,CF224,Abba,,,Nana-Mambéré,CF22,République centrafricaine,CF,2014-08-02,2015-06-15,
Nola,CF231,Nola,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2015-06-15,
Bambio,CF232,Bambio,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2015-06-15,
Bayanga,CF233,Bayanga,,,Sangha-Mbaéré,CF23,République centrafricaine,CF,2014-08-02,2015-06-15,
Bozoum,CF311,Bozoum,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Bocaranga,CF312,Bocaranga,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Koui,CF313,Koui,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Paoua,CF314,Paoua,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Ngaoundaye,CF315,Ngaoundaye,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Bossemtélé,CF316,Bossemtele,,,Ouham Pendé,CF31,République centrafricaine,CF,2014-08-02,2015-06-15,
Bossangoa,CF321,Bossangoa,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Nana-Bakassa,CF322,Nana-Bakassa,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Markounda,CF323,Markounda,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Nangha Boguila,CF324,Nangha Boguila,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Bouca,CF325,Bouca,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Batangafo,CF326,Batangafo,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Kabo,CF327,Kabo,,,Ouham,CF32,République centrafricaine,CF,2014-08-02,2015-06-15,
Sibut,CF411,Sibut,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Dékoa,CF412,Dekoa,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Mala,CF413,Mala,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Ndjoukou,CF414,Ndjoukou,,,Kémo,CF41,République centrafricaine,CF,2014-08-02,2015-06-15,
Kaga-Bandoro,CF421,Kaga-Bandoro,,,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbrès,CF422,Mbres,,,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2015-06-15,
Bambari,CF431,Bambari,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Bakala,CF432,Bakala,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Grimari,CF433,Grimari,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Kouango,CF434,Kouango,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Ippy,CF435,Ippy,,,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2015-06-15,
Ndélé,CF511,Ndele,,,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2015-06-15,
Bamingui,CF512,Bamingui,,,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2015-06-15,
Bria,CF521,Bria,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouadda,CF522,Ouadda,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Yalinga,CF523,Yalinga,,,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2015-06-15,
Birao,CF531,Birao,,,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouanda-Djallé,CF532,Ouanda-Djalle,,,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2015-06-15,
Mobaye,CF611,Mobaye,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Alindao,CF612,Alindao,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Kembé,CF613,Kembe,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Mingala,CF614,Mingala,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Zangba,CF615,Zangba,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Satéma,CF616,Satema,,,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Bangassou,CF621,Bangassou,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouango,CF622,Ouango,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Gambo,CF623,Gambo,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Rafai,CF624,Rafai,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Bakouma,CF625,Bakouma,,,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Obo,CF631,Obo,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Bambouti,CF632,Bambouti,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Zémio,CF633,Zemio,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Djéma,CF634,Djema,,,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Bangui,CF711,Bangui,,,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
